Taxon	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O
k__Bacteria;p__Cyanobacteria	2.0	9.0	4.0	3.0	3.0	56.0	5.0	5.0	0.0	0.0	20.0	8.0	3.0	0.0	0.0	3.0	2.0	11.0	71.0	30.0	37.0	6.0	0.0	27.0	1.0	3.0	0.0	142.0	0.0	26.0	233.0	9.0	176.0	107.0	10.0	2.0	3.0	78.0	71.0	4.0	4.0	203.0	367.0	15.0	7.0	3.0	0.0
k__Bacteria;p__Deferribacterota	281.0	712.0	70.0	184.0	101.0	65.0	57.0	35.0	35.0	797.0	286.0	106.0	18.0	0.0	407.0	420.0	381.0	175.0	737.0	220.0	19.0	1.0	0.0	5.0	18.0	25.0	20.0	55.0	0.0	35.0	155.0	347.0	13.0	22.0	65.0	9.0	21.0	3.0	28.0	188.0	0.0	76.0	21.0	240.0	614.0	290.0	0.0
k__Bacteria;p__Deinococcota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Dependentiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Desulfobacterota	159.0	227.0	75.0	334.0	143.0	41.0	73.0	122.0	51.0	302.0	151.0	117.0	43.0	1.0	183.0	25.0	183.0	418.0	74.0	144.0	16.0	4.0	0.0	31.0	14.0	27.0	52.0	107.0	727.0	31.0	36.0	423.0	49.0	341.0	76.0	29.0	29.0	41.0	29.0	225.0	0.0	174.0	75.0	105.0	78.0	185.0	0.0
k__Bacteria;p__Elusimicrobiota	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Entotheonellaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	52.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Fibrobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	10606.0	17722.0	11587.0	11303.0	16672.0	9809.0	18219.0	16129.0	12671.0	12088.0	14370.0	15306.0	26414.0	26010.0	22660.0	25393.0	23969.0	17662.0	20754.0	12410.0	1261.0	7021.0	17228.0	20006.0	23326.0	22469.0	21041.0	8533.0	11763.0	15523.0	12523.0	17230.0	5562.0	10255.0	7685.0	21246.0	10032.0	5326.0	8309.0	18546.0	24023.0	14552.0	14885.0	18184.0	12862.0	20372.0	23850.0
k__Bacteria;p__Fusobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	3.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	11.0	13.0	3.0	2.0	5.0	7.0	0.0	4.0	0.0	5.0	0.0	14.0	6.0	6.0	209.0	24.0	0.0
k__Bacteria;p__GAL15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	20.0	19.0	39.0	54.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	49.0	0.0	512.0	126.0	32.0	0.0	0.0	616.0	418.0	44.0	0.0	149.0	68.0	2.0	2.0	0.0	0.0
k__Bacteria;p__Latescibacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__MBNT15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
