"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","3/68","162/4955",0.0185185185185185,1.34940087145969,0.533321466431562,0.384837086327143,0.722638528769858,0.625641578941204,"Tubb2a/Dusp1/Hspa5",3
"Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling","2/68","101/4955",0.0198019801980198,1.44292370413512,0.530458010456862,0.405609920084074,0.745861629062618,0.645747533103107,"Gabrg2/Slc17a7",2
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","1/68","38/4955",0.0263157894736842,1.91756965944272,0.669718085066689,0.409679169523516,0.745861629062618,0.645747533103107,"H2-DMb1",1
"Cellular Processes","Cell growth and death","mmu04110","Cell cycle","2/68","102/4955",0.0196078431372549,1.42877739331027,0.516105049188066,0.410444565105464,0.745861629062618,0.645747533103107,"Ccnb1/Ccnb2",2
NA,NA,"mmu04518","Integrin signaling","2/68","104/4955",0.0192307692307692,1.40130090497738,0.487845675354,0.420057850640183,0.755210391044584,0.653841447245077,"Fbn1/Thbs1",2
"Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway","1/68","41/4955",0.024390243902439,1.77725968436155,0.589456528601133,0.433838519021688,0.764605156189454,0.661975189724909,"Notch4",1
"Human Diseases","Cancer: overview","mmu05206","MicroRNAs in cancer","2/68","107/4955",0.0186915887850467,1.36201209455745,0.446524149009362,0.43433192304253,0.764605156189454,0.661975189724909,"Notch4/Thbs1",2
"Organismal Systems","Endocrine system","mmu04927","Cortisol synthesis and secretion","1/68","42/4955",0.0238095238095238,1.73494397759104,0.564178830941967,0.441673069430016,0.769512873543018,0.666224163329053,"Nr4a1",1
"Organismal Systems","Endocrine system","mmu04917","Prolactin signaling pathway","1/68","43/4955",0.0232558139534884,1.69459644322845,0.539571362714921,0.449400777811608,0.774987055613895,0.670963567301971,"Fos",1
"Genetic Information Processing","Folding, sorting and degradation","mmu03018","RNA degradation","1/68","44/4955",0.0227272727272727,1.65608288770053,0.51559817272526,0.45702307974744,0.780170711892095,0.67545144162567,"Hspd1",1
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","2/68","113/4955",0.0176991150442478,1.28969286829776,0.367431106772276,0.462320417294984,0.781321505228523,0.676447768463187,"Unc5a/Ablim3",2
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","1/68","46/4955",0.0217391304347826,1.58407928388747,0.469424217191849,0.471957111849579,0.781968155907635,0.67700762174501,"Pmaip1",1
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","1/68","46/4955",0.0217391304347826,1.58407928388747,0.469424217191849,0.471957111849579,0.781968155907635,0.67700762174501,"Thbs1",1
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","1/68","48/4955",0.0208333333333333,1.51807598039216,0.425419443528813,0.486486274804741,0.782862940890526,0.677782303231287,"Tpm4",1
"Human Diseases","Cancer: overview","mmu05200","Pathways in cancer","5/68","334/4955",0.0149700598802395,1.09083303980275,0.202749777164877,0.488212763883671,0.782862940890526,0.677782303231287,"Hsp90aa1/Hsp90ab1/Notch4/Pmaip1/Fos",5
