"Gene","Genus","r","p_raw","p_adj","gene_dir","genus_dir"
"Ifit1bl1","Alloprevotella",0.363636363636364,0.271637540993823,0.938117747204166,4,-1
"Ccnb1","Corynebacterium",-0.363636363636364,0.271637540993823,0.938117747204166,4,1
"Syn2","Streptococcus",0.359909817586782,0.276947700273761,0.938117747204166,2,1
"Svs2","Corynebacterium",0.357813223666067,0.279960573486871,0.938117747204166,2,1
"Oas1g","Geobacillus",0.355353997111,0.283517752717117,0.938117747204166,4,-1
"Gbp2","Brevibacillus",-0.354545454545455,0.284692740955887,0.938117747204166,4,-1
"Nusap1","Geobacillus",-0.354545454545455,0.284692740955887,0.938117747204166,4,-1
"Pmaip1","Staphylococcus",-0.354545454545455,0.284692740955887,0.938117747204166,4,1
"Msln","Streptococcus",0.354545454545455,0.284692740955887,0.938117747204166,2,1
"Ccnb1","Alloprevotella",0.354545454545455,0.284692740955887,0.938117747204166,4,-1
"Gbp2","Alloprevotella",0.354545454545455,0.284692740955887,0.938117747204166,4,-1
"Ifit1bl1","Bacteroides",0.354545454545455,0.284692740955887,0.938117747204166,4,-1
"Syn2","Alloprevotella",-0.346242356159436,0.29691485140291,0.938117747204166,2,-1
"Hmgn2","Ralstonia",0.345454545454545,0.298089220903039,0.938117747204166,4,1
"Selenoh","Geobacillus",-0.345454545454545,0.298089220903039,0.938117747204166,4,-1
"Hmgn2","Pseudomonas",0.345454545454545,0.298089220903039,0.938117747204166,4,1
"Apold1","Staphylococcus",-0.345454545454545,0.298089220903039,0.938117747204166,4,1
"Arc","Streptococcus",-0.345454545454545,0.298089220903039,0.938117747204166,4,1
"Oas1g","Enterococcus",-0.337130715207872,0.31065235774542,0.938117747204166,4,1
"Psme2","Geobacillus",-0.336363636363636,0.311824313900386,0.938117747204166,2,-1
"Arc","Alloprevotella",0.336363636363636,0.311824313900386,0.938117747204166,4,-1
"Uspl1","Alloprevotella",0.336363636363636,0.311824313900386,0.938117747204166,4,-1
"Selenoh","Corynebacterium",-0.336363636363636,0.311824313900386,0.938117747204166,4,1
"Msln","Romboutsia",-0.327272727272727,0.325894941012842,0.938117747204166,2,1
"Pbk","Brevibacillus",-0.327272727272727,0.325894941012842,0.938117747204166,4,-1
"Psme2","Brevibacillus",-0.327272727272727,0.325894941012842,0.938117747204166,2,-1
"Apold1","Pseudomonas",-0.327272727272727,0.325894941012842,0.938117747204166,4,1
"Psme2","Staphylococcus",0.327272727272727,0.325894941012842,0.938117747204166,2,1
"Ifi203","Streptococcus",-0.327272727272727,0.325894941012842,0.938117747204166,4,1
"Psme2","Streptococcus",0.327272727272727,0.325894941012842,0.938117747204166,2,1
"Gbp2","Bacteroides",0.327272727272727,0.325894941012842,0.938117747204166,4,-1
"B3galt5","Bacteroides",-0.327272727272727,0.325894941012842,0.938117747204166,2,-1
"Oas1g","Staphylococcus",-0.323463253780526,0.331890064580611,0.938117747204166,4,1
"Irgm2","Brevibacillus",-0.318181818181818,0.340297614181903,0.938117747204166,4,-1
"Scoc","Geobacillus",-0.318181818181818,0.340297614181903,0.938117747204166,4,-1
"Pmaip1","Pseudomonas",-0.318181818181818,0.340297614181903,0.938117747204166,4,1
"Syt8","Pseudomonas",-0.318181818181818,0.340297614181903,0.938117747204166,4,1
"Selenoh","Streptococcus",-0.318181818181818,0.340297614181903,0.938117747204166,4,1
"B3galt5","Alloprevotella",-0.318181818181818,0.340297614181903,0.938117747204166,2,-1
"Apold1","Bacteroides",0.318181818181818,0.340297614181903,0.938117747204166,4,-1
"Ifitm1","Bacteroides",0.318181818181818,0.340297614181903,0.938117747204166,4,-1
"Ifi44","Brevibacillus",-0.309090909090909,0.355028439701507,0.95565768285496,4,-1
"Pmaip1","Prevotellaceae_UCG-001",0.309090909090909,0.355028439701507,0.95565768285496,4,-1
"Rpusd4","Enterococcus",0.309090909090909,0.355028439701507,0.95565768285496,2,1
"Sctr","Streptococcus",0.305239971877397,0.361366375598003,0.95565768285496,2,1
"Sctr","Prevotellaceae_UCG-001",-0.300684151401615,0.368938990523154,0.95565768285496,2,-1
"Selenoh","Brevibacillus",-0.3,0.370083122282068,0.95565768285496,4,-1
"Syt8","Geobacillus",-0.3,0.370083122282068,0.95565768285496,4,-1
"Krt79","Staphylococcus",0.3,0.370083122282068,0.95565768285496,2,1
"Apold1","Prevotellaceae_UCG-001",0.3,0.370083122282068,0.95565768285496,4,-1
"Msln","Corynebacterium",0.3,0.370083122282068,0.95565768285496,2,1
"Sctr","Corynebacterium",0.296128330925833,0.376591859269915,0.962969477283785,2,1
"Ifit1bl1","Geobacillus",-0.290909090909091,0.385456969691365,0.962969477283785,4,-1
"Rpusd4","Geobacillus",-0.290909090909091,0.385456969691365,0.962969477283785,2,-1
"Ncapg","Streptococcus",-0.290909090909091,0.385456969691365,0.962969477283785,4,1
"Rpusd4","Bacteroides",0.290909090909091,0.385456969691365,0.962969477283785,2,-1
"Oas1g","Brevibacillus",0.287016689974269,0.392135837715948,0.962969477283785,4,-1
"Sctr","Bacteroides",-0.282460869498487,0.400025625940466,0.962969477283785,2,-1
"Nfil3","Brevibacillus",-0.281818181818182,0.401144897960478,0.962969477283785,4,-1
"Thbs1","Corynebacterium",-0.281818181818182,0.401144897960478,0.962969477283785,4,1
"Syt8","Ralstonia",-0.272727272727273,0.417141437142531,0.962969477283785,4,1
"Arc","Pseudomonas",-0.272727272727273,0.417141437142531,0.962969477283785,4,1
"Irgm2","Bacteroides",0.272727272727273,0.417141437142531,0.962969477283785,4,-1
"Syt8","Enterococcus",-0.272727272727273,0.417141437142531,0.962969477283785,4,1
"Oas1g","Romboutsia",0.268793408071141,0.424157749994814,0.962969477283785,4,1
"Sctr","Alloprevotella",-0.264237587595359,0.432353561829766,0.962969477283785,2,-1
"Apold1","Ralstonia",-0.263636363636364,0.433440737611615,0.962969477283785,4,1
"Nnat","Geobacillus",0.263636363636364,0.433440737611615,0.962969477283785,2,-1
"Nfil3","Prevotellaceae_UCG-001",0.263636363636364,0.433440737611615,0.962969477283785,4,-1
"Chordc1","Prevotellaceae_UCG-001",0.263636363636364,0.433440737611615,0.962969477283785,4,-1
"Syt8","Bacteroides",0.263636363636364,0.433440737611615,0.962969477283785,4,-1
"Ncapg","Corynebacterium",-0.263636363636364,0.433440737611615,0.962969477283785,4,1
"Ifit1bl1","Brevibacillus",-0.254545454545455,0.450036576888829,0.962969477283785,4,-1
"Nusap1","Brevibacillus",-0.254545454545455,0.450036576888829,0.962969477283785,4,-1
"Selenoh","Ralstonia",0.254545454545455,0.450036576888829,0.962969477283785,4,1
"Cmah","Geobacillus",-0.254545454545455,0.450036576888829,0.962969477283785,4,-1
"Chordc1","Pseudomonas",-0.254545454545455,0.450036576888829,0.962969477283785,4,1
"Arc","Staphylococcus",-0.254545454545455,0.450036576888829,0.962969477283785,4,1
"Rpusd4","Romboutsia",-0.245454545454545,0.466922366982016,0.962969477283785,2,1
"Thbs1","Romboutsia",-0.245454545454545,0.466922366982016,0.962969477283785,4,1
"B3galt5","Brevibacillus",0.245454545454545,0.466922366982016,0.962969477283785,2,-1
"Pmaip1","Ralstonia",-0.245454545454545,0.466922366982016,0.962969477283785,4,1
"Rpusd4","Ralstonia",0.245454545454545,0.466922366982016,0.962969477283785,2,1
"Ifi44","Geobacillus",-0.245454545454545,0.466922366982016,0.962969477283785,4,-1
"B3galt5","Staphylococcus",0.245454545454545,0.466922366982016,0.962969477283785,2,1
"Uspl1","Streptococcus",-0.245454545454545,0.466922366982016,0.962969477283785,4,1
"Syt8","Streptococcus",-0.245454545454545,0.466922366982016,0.962969477283785,4,1
"Ncapg","Alloprevotella",0.245454545454545,0.466922366982016,0.962969477283785,4,-1
"Oas1g","Corynebacterium",-0.241458485216449,0.474434760752164,0.962969477283785,4,1
"Chordc1","Brevibacillus",-0.236363636363636,0.484091162225397,0.962969477283785,4,-1
"Krt79","Brevibacillus",-0.236363636363636,0.484091162225397,0.962969477283785,2,-1
"Hmgn2","Geobacillus",-0.236363636363636,0.484091162225397,0.962969477283785,4,-1
"Irgm2","Alloprevotella",0.236363636363636,0.484091162225397,0.962969477283785,4,-1
"Syt8","Alloprevotella",0.236363636363636,0.484091162225397,0.962969477283785,4,-1
"Syt8","Prevotellaceae_UCG-001",0.236363636363636,0.484091162225397,0.962969477283785,4,-1
"Nfil3","Bacteroides",0.236363636363636,0.484091162225397,0.962969477283785,4,-1
"Psme2","Corynebacterium",0.236363636363636,0.484091162225397,0.962969477283785,2,1
"Nnat","Enterococcus",-0.236363636363636,0.484091162225397,0.962969477283785,2,1
"Syn2","Pseudomonas",0.232346844264885,0.491765414058625,0.962969477283785,2,1
"Msln","Brevibacillus",-0.227272727272727,0.501535667604937,0.962969477283785,2,-1
"Selenoh","Pseudomonas",0.227272727272727,0.501535667604937,0.962969477283785,4,1
"B3galt5","Pseudomonas",0.227272727272727,0.501535667604937,0.962969477283785,2,1
"Rpusd4","Streptococcus",0.227272727272727,0.501535667604937,0.962969477283785,2,1
"Irgm2","Romboutsia",0.218181818181818,0.519248247554982,0.962969477283785,4,1
"Ifitm1","Romboutsia",-0.218181818181818,0.519248247554982,0.962969477283785,4,1
"Ccnb1","Brevibacillus",-0.218181818181818,0.519248247554982,0.962969477283785,4,-1
