"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PSMB10",4.90234334744185e-21,0.231535746353111,0.661,0.482,9.80468669488369e-17
"PGLS",5.61524101342243e-25,0.231125745899172,0.768,0.566,1.12304820268449e-20
"PYCARD",1.42864035767979e-16,0.23040029480906,0.867,0.713,2.85728071535958e-12
"PSMB6",6.05430338263653e-21,0.230206501791016,0.872,0.746,1.21086067652731e-16
"HSD17B10",9.08705767557399e-26,0.230134033477252,0.686,0.479,1.8174115351148e-21
"YBX1",5.49474603804059e-25,0.229571261274199,0.997,0.988,1.09894920760812e-20
"CCT3",2.53332321265045e-25,0.229399166477673,0.616,0.415,5.06664642530091e-21
"NDUFB2",3.11032646127975e-23,0.229092860587146,0.95,0.857,6.22065292255949e-19
"PSMB2",4.1038945853669e-22,0.228928519598918,0.787,0.61,8.20778917073379e-18
"UQCRFS1",3.57034534465916e-22,0.228763920740757,0.796,0.629,7.14069068931833e-18
"CCT6A",1.73300768850146e-25,0.228356836692661,0.623,0.413,3.46601537700292e-21
"MZT2B",7.83669369930744e-19,0.228294219384709,0.78,0.605,1.56733873986149e-14
"PSMD7",8.76211547387024e-22,0.228052581829502,0.707,0.537,1.75242309477405e-17
"SET",1.23015173384114e-18,0.228049694499407,0.731,0.559,2.46030346768229e-14
"CCND3",5.2766822878395e-22,0.227909521742803,0.507,0.33,1.0553364575679e-17
"TPI1",8.53709803397504e-27,0.227447873150784,0.986,0.952,1.70741960679501e-22
"NDUFS6",2.62430659764023e-17,0.227109046810726,0.82,0.679,5.24861319528046e-13
"PDIA3",7.64743774979229e-18,0.226959000359289,0.929,0.825,1.52948754995846e-13
"SRSF3",2.05812365794038e-15,0.226558168094091,0.851,0.732,4.11624731588076e-11
"PFN1",2.34378188602914e-28,0.226509314452612,0.999,1,4.68756377205828e-24
"PSMA1",1.50753459811222e-19,0.226506442594999,0.827,0.679,3.01506919622444e-15
"TMED9",6.69159604017297e-19,0.226338695529689,0.813,0.679,1.33831920803459e-14
"LSM7",8.6510237851544e-20,0.2261232219402,0.766,0.594,1.73020475703088e-15
"SNRPC",1.54976490945824e-21,0.225715981408845,0.699,0.522,3.09952981891648e-17
"DECR1",1.63009324711694e-25,0.225575913205946,0.606,0.403,3.26018649423387e-21
"TBCB",1.38169278446493e-23,0.224781016551113,0.771,0.568,2.76338556892987e-19
"MYDGF",1.61543805491284e-17,0.224697888879197,0.889,0.767,3.23087610982569e-13
"PPT1",9.05791131286075e-18,0.224202037466724,0.844,0.713,1.81158226257215e-13
"RPN2",2.17115371688821e-20,0.224004145735355,0.76,0.589,4.34230743377642e-16
"CXCL13",0.0963789703765801,0.223915980023087,0.199,0.173,1
"POLR2E",4.41394478275347e-17,0.223506945895531,0.798,0.638,8.82788956550694e-13
