"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PIN1",7.22361555678597e-17,0.165294731285018,0.639,0.459,1.44472311135719e-12
"DDX21",9.52124914466633e-14,0.165188411855681,0.656,0.492,1.90424982893327e-09
"MLEC",8.17985089863293e-16,0.165004627705979,0.633,0.456,1.63597017972659e-11
"SNX5",9.62532377923926e-18,0.164887720189663,0.594,0.41,1.92506475584785e-13
"C19orf24",1.90676434314868e-16,0.164571946198931,0.664,0.487,3.81352868629736e-12
"TXN2",2.51447899414614e-15,0.164468090926755,0.643,0.485,5.02895798829227e-11
"SSNA1",9.95872739173876e-16,0.164004301877699,0.662,0.489,1.99174547834775e-11
"IMPDH2",1.32172035735202e-22,0.163943437532204,0.399,0.224,2.64344071470405e-18
"LSM10",6.89179660708633e-19,0.163776589237477,0.566,0.384,1.37835932141727e-14
"RPA3",6.67957776876825e-16,0.163452216180242,0.566,0.396,1.33591555375365e-11
"ANP32E",1.99186497192751e-20,0.163391956763953,0.423,0.256,3.98372994385502e-16
"TECR",5.6260417549334e-16,0.163250060262287,0.649,0.475,1.12520835098668e-11
"COPZ1",8.39017830795031e-17,0.162328592913706,0.617,0.447,1.67803566159006e-12
"AK2",3.10520506333689e-19,0.162157460104222,0.578,0.393,6.21041012667378e-15
"TIMM10",1.09417600733957e-17,0.162094676392186,0.526,0.358,2.18835201467914e-13
"THOC7",8.39620423134528e-20,0.162071144451296,0.614,0.415,1.67924084626906e-15
"PPP1R7",6.24807808335599e-19,0.161993252350584,0.549,0.373,1.2496156166712e-14
"EIF3A",7.83986513984553e-18,0.161834189146712,0.626,0.44,1.56797302796911e-13
"NDUFA8",4.69985408779149e-22,0.161697908215636,0.537,0.345,9.39970817558298e-18
"FAM89B",1.67527942853332e-16,0.161599588673106,0.413,0.268,3.35055885706665e-12
"MPC1",9.38486287323994e-16,0.161164373463218,0.668,0.486,1.87697257464799e-11
"PSMC3",1.61391767038113e-15,0.160890184914271,0.649,0.491,3.22783534076226e-11
"MRPL47",5.7577361448196e-21,0.160726358464139,0.537,0.346,1.15154722896392e-16
"TXNL1",8.43028498484591e-17,0.160436354826643,0.635,0.458,1.68605699696918e-12
"SEC13",1.77346274421305e-19,0.160088890147284,0.567,0.375,3.54692548842609e-15
"PTRHD1",7.8706442008125e-16,0.159577518342207,0.613,0.438,1.5741288401625e-11
"NSA2",6.30145342431748e-17,0.159161811323793,0.613,0.426,1.2602906848635e-12
"HADHB",1.77030564193738e-17,0.157687695491096,0.616,0.437,3.54061128387476e-13
"PSMB5",4.17914467318056e-14,0.157429522634241,0.576,0.43,8.35828934636111e-10
"NAAA",2.80468408940416e-15,0.157311939317648,0.543,0.378,5.60936817880832e-11
"BOLA3",3.65312980161214e-17,0.157176859678783,0.463,0.307,7.30625960322429e-13
"YIF1A",8.90061637616112e-19,0.156071671943818,0.601,0.409,1.78012327523222e-14
"CMTM3",3.02547885013106e-14,0.155893545887336,0.568,0.406,6.05095770026212e-10
"FBL",6.49407646646802e-19,0.15580226932686,0.595,0.405,1.2988152932936e-14
"CCT2",2.39996250368201e-18,0.155672781320563,0.475,0.312,4.79992500736402e-14
"TXNL4A",6.86534619790823e-16,0.155210110684864,0.583,0.416,1.37306923958165e-11
"ETFA",3.72223806986912e-15,0.154975898684663,0.553,0.399,7.44447613973824e-11
"UROS",2.94212550210847e-17,0.154520099465074,0.45,0.295,5.88425100421695e-13
"APBB1IP",5.02509393086652e-21,0.154421579064105,0.375,0.213,1.0050187861733e-16
"STRA13",9.12272621093494e-14,0.153835367732735,0.563,0.41,1.82454524218699e-09
"HPRT1",2.40074085382771e-19,0.153821374069021,0.497,0.32,4.80148170765541e-15
"EBNA1BP2",8.11431515154001e-24,0.153803328933835,0.376,0.204,1.622863030308e-19
"NXT1",3.13075990135382e-15,0.153783709148748,0.42,0.276,6.26151980270763e-11
"DNMT1",2.73073665273373e-15,0.153744413759214,0.514,0.358,5.46147330546747e-11
"SNRPA1",7.50092324513492e-21,0.153502967476147,0.425,0.255,1.50018464902698e-16
"HAX1",1.0985460431936e-14,0.15329903909679,0.593,0.427,2.19709208638719e-10
"RASSF5",1.00879052680215e-06,0.153243991492857,0.621,0.498,0.020175810536043
"FDPS",2.01689807653602e-18,0.153172558862858,0.468,0.307,4.03379615307204e-14
"RRP7A",1.04059420212949e-16,0.153036684105105,0.452,0.297,2.08118840425898e-12
"RBMX",6.9232740661937e-15,0.153026914992277,0.615,0.448,1.38465481323874e-10
"PDIA4",5.61778720714511e-11,0.152476178107669,0.612,0.471,1.12355744142902e-06
"URM1",1.07350006850137e-22,0.152469314410693,0.47,0.282,2.14700013700275e-18
"OLA1",3.0251526780595e-18,0.152454145618212,0.485,0.313,6.050305356119e-14
"WBSCR22",8.89439887025714e-18,0.152014725067579,0.543,0.367,1.77887977405143e-13
"XRCC5",1.93351427874692e-13,0.151432473384573,0.574,0.431,3.86702855749384e-09
"PARVB",9.98693127945073e-18,0.151207601398526,0.56,0.385,1.99738625589014e-13
"SNRPA",1.27705377065119e-20,0.150708782832553,0.397,0.231,2.55410754130239e-16
"PDCD5",9.3930136153565e-13,0.150080491946296,0.566,0.427,1.8786027230713e-08
"PCNA",4.45001297817594e-12,0.149942721304695,0.327,0.211,8.90002595635188e-08
"C7orf50",1.24188006722095e-14,0.149751539673786,0.643,0.473,2.48376013444189e-10
"COMMD3",2.75365027005184e-19,0.149543106989492,0.444,0.279,5.50730054010367e-15
"PSMD6",1.67735538837307e-19,0.149150673999921,0.449,0.28,3.35471077674614e-15
"HSPB11",1.74330058348241e-15,0.148379473285713,0.516,0.357,3.48660116696482e-11
"EIF2S1",5.59260291517115e-21,0.148331731063916,0.415,0.248,1.11852058303423e-16
"CD2",2.68467848469065e-07,0.147936132337972,0.283,0.204,0.00536935696938129
"TIMM17A",1.04110929655589e-16,0.147613274804148,0.583,0.406,2.08221859311179e-12
"CDK2AP2",4.06851595092735e-16,0.147078908802478,0.556,0.385,8.13703190185471e-12
"WAS",1.09143368098503e-13,0.146884744094411,0.662,0.491,2.18286736197006e-09
"POLE4",1.20422970620153e-13,0.146673609131912,0.635,0.469,2.40845941240306e-09
"MAGOH",8.05197410296275e-13,0.146554315748941,0.661,0.498,1.61039482059255e-08
"CBR1",6.21507001282941e-12,0.146461250989471,0.51,0.369,1.24301400256588e-07
"C9orf142",4.11853997972917e-17,0.145695616912479,0.569,0.386,8.23707995945834e-13
"NUDCD2",2.93168109011276e-22,0.144806220728792,0.423,0.243,5.86336218022552e-18
"GPR65",4.79056351594284e-08,0.14461369341283,0.384,0.286,0.000958112703188568
"PRDX2",3.09716191045792e-11,0.143771922293049,0.472,0.34,6.19432382091585e-07
"NIT2",8.36789088029589e-23,0.143745406015586,0.373,0.205,1.67357817605918e-18
"NASP",1.87894130911114e-12,0.143586614665843,0.464,0.335,3.75788261822228e-08
"PTTG1",1.23916298209995e-13,0.14341396025197,0.434,0.293,2.47832596419989e-09
"SEPT6",7.49973799307684e-13,0.143276234584813,0.568,0.412,1.49994759861537e-08
"PSMF1",1.71867434674009e-18,0.142365101139016,0.579,0.394,3.43734869348018e-14
"ITGB1BP1",2.42589653069273e-14,0.141841517772217,0.523,0.368,4.85179306138545e-10
"SCAMP2",2.09269504019381e-15,0.141783728741047,0.617,0.445,4.18539008038762e-11
"COMMD4",5.00761122628226e-15,0.141711090737508,0.527,0.37,1.00152224525645e-10
"MRPL40",5.3624522787771e-16,0.141513736342625,0.517,0.355,1.07249045575542e-11
"POP5",6.20157770408005e-24,0.141159136314891,0.335,0.17,1.24031554081601e-19
"LAGE3",9.223606383392e-15,0.140892410301108,0.624,0.44,1.8447212766784e-10
"PFDN6",5.44580864448074e-20,0.140825699463032,0.457,0.281,1.08916172889615e-15
"NAA20",7.49503871012535e-13,0.140566548598771,0.568,0.426,1.49900774202507e-08
"SLBP",7.18366206175015e-16,0.140409338209088,0.433,0.282,1.43673241235003e-11
"COPS3",2.23678918940568e-20,0.140182551728336,0.392,0.227,4.47357837881137e-16
"C17orf89",7.12675396721981e-15,0.139864604714648,0.513,0.35,1.42535079344396e-10
"NUDT5",4.31946439992999e-18,0.139734694741651,0.498,0.328,8.63892879985998e-14
"MRPS16",1.24014273494129e-16,0.139683907069759,0.527,0.358,2.48028546988258e-12
"UBE2C",2.45045701616169e-07,0.139357881588983,0.117,0.063,0.00490091403232338
"TOR3A",4.95463155391392e-14,0.138897097620954,0.446,0.299,9.90926310782783e-10
"PSMC2",2.78729449510221e-14,0.138688079051687,0.574,0.417,5.57458899020443e-10
"SERPINH1",7.39417484036474e-10,0.138666320451166,0.268,0.169,1.47883496807295e-05
"MRPL37",1.56877338285402e-20,0.138457704890263,0.397,0.233,3.13754676570803e-16
"GSPT1",2.88363790111091e-14,0.138168603568575,0.525,0.365,5.76727580222182e-10
"PSMD3",9.10586574155895e-17,0.138142667561416,0.505,0.34,1.82117314831179e-12
"GLRX3",2.06267238999934e-15,0.137895309372962,0.562,0.396,4.12534477999868e-11
"FKBP3",1.4808446527434e-16,0.137471104244861,0.503,0.339,2.9616893054868e-12
"S100A2",5.6731024719918e-08,0.137420849623169,0.577,0.45,0.00113462049439836
"DEF6",2.18956398417046e-19,0.137419344010403,0.393,0.228,4.37912796834092e-15
"ESD",1.53199015425526e-14,0.137365934092703,0.575,0.412,3.06398030851052e-10
"LSM6",1.06386128061299e-14,0.137292638977536,0.524,0.361,2.12772256122599e-10
"DPY30",1.71518351495484e-14,0.137128541399504,0.615,0.437,3.43036702990968e-10
"RHOF",4.65413244111318e-11,0.136586644899375,0.452,0.311,9.30826488222635e-07
"DCTN2",2.4796458811756e-18,0.136572148441076,0.508,0.327,4.95929176235119e-14
"RTCB",1.41711818068881e-14,0.136360488986645,0.501,0.347,2.83423636137762e-10
"ADI1",2.36246821207804e-13,0.136311794570946,0.557,0.402,4.72493642415609e-09
"IDH3G",1.91909232504776e-13,0.136251746154714,0.639,0.468,3.83818465009552e-09
"PUF60",1.5025590131012e-16,0.135986997576654,0.527,0.359,3.0051180262024e-12
"ALG3",1.31512792622512e-17,0.135887549275302,0.395,0.241,2.63025585245024e-13
"IDH3B",5.85926160790069e-18,0.135490977826989,0.518,0.341,1.17185232158014e-13
"CHCHD5",4.16365964382169e-18,0.135136284283127,0.556,0.372,8.32731928764337e-14
"EBP",7.96226141140343e-17,0.134902392206293,0.42,0.264,1.59245228228069e-12
"PSMD14",1.86206216206532e-15,0.134668424791141,0.536,0.379,3.72412432413064e-11
"BAK1",3.14178709068867e-16,0.134550611068048,0.403,0.252,6.28357418137734e-12
"GRPEL1",1.05901054716549e-20,0.134503645456604,0.382,0.217,2.11802109433099e-16
"AKR7A2",4.88134722780681e-16,0.13442943976122,0.469,0.308,9.76269445561362e-12
"DTD1",1.6038116908469e-21,0.13437590509648,0.374,0.208,3.20762338169381e-17
"ARPC5L",2.89577924211885e-13,0.134348372042276,0.475,0.329,5.79155848423769e-09
"ACO2",1.317732052551e-17,0.134346415983776,0.469,0.299,2.63546410510199e-13
"SNX2",3.5427971577235e-12,0.134341499552243,0.616,0.463,7.08559431544701e-08
"PRPF40A",3.34708603563419e-14,0.134112182856023,0.609,0.439,6.69417207126838e-10
"MRPL21",6.20736455648244e-14,0.133474478649132,0.53,0.377,1.24147291129649e-09
"COPS6",1.66316784351527e-12,0.133429051644882,0.598,0.44,3.32633568703054e-08
"TYMS",9.79165300649403e-12,0.133411312132066,0.12,0.052,1.95833060129881e-07
"MRPL15",8.58436394895089e-20,0.1329026687918,0.408,0.242,1.71687278979018e-15
"PRPF31",3.79951016339574e-18,0.132878161214735,0.44,0.276,7.59902032679148e-14
"LPCAT2",1.20188196036979e-16,0.132559209745931,0.423,0.265,2.40376392073957e-12
"NUDT16",2.92745654467441e-13,0.132510326599794,0.416,0.28,5.85491308934882e-09
"CD33",1.34383726208171e-13,0.132359416236504,0.419,0.279,2.68767452416341e-09
"TMEM261",1.96905011029708e-18,0.132211930903389,0.504,0.323,3.93810022059416e-14
"FKBP5",2.33363429562792e-10,0.132051344386709,0.361,0.245,4.66726859125585e-06
"CISD3",7.21644290140296e-13,0.131899829472762,0.585,0.426,1.44328858028059e-08
"RBM25",6.38882611159495e-12,0.131821712441381,0.644,0.488,1.27776522231899e-07
"COMMD8",9.01547974477149e-16,0.131808380566746,0.435,0.284,1.8030959489543e-11
"WDR18",2.03613561176258e-22,0.131579185623192,0.324,0.167,4.07227122352515e-18
"RSU1",4.79405139911618e-15,0.131546908564031,0.595,0.421,9.58810279823236e-11
"WDR61",2.3799463084677e-18,0.131131516887201,0.439,0.271,4.75989261693539e-14
