#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV20	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	554.0	84.0	314.0	0.0	742.0	32.0	2347.0	2670.0	93.0	296.0	675.0	345.0	179.0	95.0	92.0	0.0	171.0	982.0	113.0	395.0	200.0	750.0	30.0	14.0	284.0	105.0	10.0	501.0	114.0	343.0	3719.0	10.0	52.0	281.0	Unassigned
ASV21	13.0	5.0	454.0	14.0	25.0	0.0	18.0	7.0	61.0	11.0	6.0	45.0	57.0	0.0	2767.0	3106.0	1311.0	0.0	3621.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	81.0	0.0	29.0	163.0	164.0	0.0	8.0	67.0	11.0	0.0	0.0	17.0	50.0	0.0	0.0	0.0	97.0	3103.0	1314.0	6.0	k__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter
ASV22	153.0	210.0	60.0	681.0	89.0	46.0	54.0	20.0	69.0	113.0	182.0	122.0	255.0	0.0	472.0	297.0	228.0	209.0	343.0	78.0	16.0	45.0	0.0	10.0	12.0	8.0	64.0	70.0	0.0	36.0	0.0	7354.0	19.0	139.0	168.0	7.0	3688.0	0.0	0.0	402.0	0.0	12.0	168.0	273.0	181.0	265.0	0.0	k__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter
ASV23	1034.0	709.0	146.0	708.0	150.0	555.0	139.0	0.0	0.0	848.0	1961.0	159.0	129.0	25.0	20.0	25.0	100.0	862.0	0.0	150.0	42.0	46.0	0.0	82.0	105.0	0.0	0.0	80.0	0.0	32.0	0.0	621.0	0.0	29.0	1535.0	14.0	2512.0	0.0	0.0	2989.0	0.0	47.0	92.0	202.0	44.0	135.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	14738.0	0.0	23.0	0.0	0.0	3.0	185.0	0.0	0.0	0.0	0.0	130.0	0.0	29.0	23.0	14.0	150.0	67.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Rodentibacter
ASV25	30.0	25.0	25.0	31.0	22.0	202.0	11.0	0.0	11.0	298.0	0.0	33.0	42.0	0.0	26.0	8.0	21.0	1226.0	0.0	422.0	95.0	44.0	33.0	52.0	0.0	70.0	11.0	24.0	8110.0	15.0	0.0	458.0	39.0	93.0	1483.0	18.0	1523.0	4.0	8.0	428.0	0.0	32.0	25.0	398.0	88.0	93.0	17.0	k__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Coriobacteriaceae_UCG-002; s__
ASV26	107.0	1689.0	70.0	81.0	160.0	345.0	69.0	6.0	6.0	3284.0	126.0	123.0	37.0	0.0	172.0	10.0	103.0	1092.0	0.0	811.0	41.0	27.0	8.0	69.0	0.0	30.0	7.0	54.0	7.0	13.0	7.0	1233.0	39.0	254.0	462.0	9.0	777.0	0.0	24.0	1663.0	0.0	46.0	14.0	856.0	63.0	115.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group
ASV27	1132.0	865.0	139.0	591.0	176.0	480.0	192.0	0.0	0.0	669.0	1729.0	151.0	64.0	0.0	0.0	0.0	0.0	646.0	16.0	181.0	0.0	0.0	15.0	0.0	77.0	104.0	79.0	0.0	106.0	0.0	0.0	440.0	20.0	0.0	1319.0	0.0	1481.0	0.0	0.0	2781.0	0.0	0.0	0.0	340.0	43.0	73.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV28	6.0	0.0	0.0	44.0	0.0	278.0	0.0	104.0	153.0	0.0	0.0	84.0	932.0	2367.0	12.0	7.0	20.0	0.0	0.0	3.0	0.0	61.0	415.0	2990.0	191.0	423.0	1191.0	0.0	0.0	190.0	753.0	7.0	0.0	21.0	7.0	1560.0	2.0	47.0	11.0	8.0	640.0	28.0	19.0	77.0	21.0	19.0	756.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
ASV29	385.0	321.0	317.0	318.0	363.0	4058.0	1561.0	10.0	0.0	1240.0	2088.0	1302.0	12.0	0.0	49.0	12.0	64.0	41.0	26.0	168.0	5.0	0.0	0.0	107.0	98.0	0.0	18.0	12.0	0.0	5.0	0.0	92.0	9.0	4.0	25.0	82.0	64.0	0.0	0.0	202.0	0.0	5.0	0.0	35.0	30.0	63.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__
