#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV27	634	476	79	330	112	272	113	0	0	421	888	87	28	0	0	0	0	377	7	101	0	0	6	0	37	57	45	0	61	0	0	216	10	0	680	0	634	0	0	1353	0	0	0	176	20	39	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV28	4	0	0	24	0	158	0	54	77	0	0	48	390	1068	7	4	9	0	0	1	0	30	175	1739	90	235	680	0	0	100	392	3	0	10	4	796	0	25	5	3	277	28	9	39	9	10	341	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
ASV29	215	176	181	178	233	2303	922	6	0	783	1073	752	5	0	24	7	30	24	12	93	3	0	0	62	46	0	11	6	0	3	0	44	4	2	14	42	28	0	0	99	0	4	0	18	13	34	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__
ASV30	5	9	30	0	4	3	5	19	9	1	3	0	17	0	40	4114	48	0	675	0	0	0	0	0	0	0	0	100	0	21	48	65	0	0	42	0	1	0	13	39	0	11	0	61	336	857	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus_Arthromitus; s__Candidatus_Arthromitus
ASV31	56	132	117	222	169	147	290	89	10	395	103	674	20	12	0	1	0	0	0	39	8	6	62	66	52	49	193	39	68	15	98	64	34	15	44	373	187	12	5	53	89	14	7	73	1605	359	226	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium
ASV32	38	22	35	24	24	4330	50	0	0	34	110	53	8	0	12	0	17	91	0	135	6	0	0	89	1	4	0	160	28	6	91	51	104	92	54	0	2	67	95	250	0	435	122	26	41	29	0	k__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia
ASV33	0	0	0	63	0	0	0	42	54	0	0	117	43	74	0	3	0	0	1	0	0	20	129	133	42	58	1922	17	0	902	84	0	17	3	0	1730	0	45	0	0	152	21	17	0	0	0	418	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Rodentibacter
ASV34	0	0	0	0	0	0	0	0	1	0	0	0	77	87	99	25	24	155	11	597	407	165	438	228	94	256	67	664	0	233	75	72	297	84	44	47	32	340	118	8	45	656	118	274	30	206	119	k__Bacteria
ASV35	50	0	373	29	424	34	743	1493	780	24	24	538	0	0	65	41	107	0	32	0	0	0	0	40	24	67	76	28	0	844	24	0	0	0	0	189	0	0	18	0	0	0	0	0	23	81	15	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
ASV36	479	370	678	179	212	108	125	632	163	608	146	282	13	0	45	22	31	15	22	0	16	0	4	0	38	51	63	29	0	0	0	201	0	0	1035	40	372	3	0	20	0	31	17	0	35	45	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
