"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030667","CC","GO:0030667","secretory granule membrane","8/79","313/19869",3.42844887521627e-05,0.000866001502849379,0.000724871264274686,"CD44/MCEMP1/ANPEP/SLC11A1/OLR1/FCGR2A/TNFRSF1B/PLAUR",8
"GO:0034774","CC","GO:0034774","secretory granule lumen","8/79","322/19869",4.19033759345711e-05,0.000866001502849379,0.000724871264274686,"TIMP1/S100A8/S100A9/S100A12/FCN1/THBS1/CXCL1/CFD",8
"GO:0060205","CC","GO:0060205","cytoplasmic vesicle lumen","8/79","325/19869",4.47378411864335e-05,0.000866001502849379,0.000724871264274686,"TIMP1/S100A8/S100A9/S100A12/FCN1/THBS1/CXCL1/CFD",8
"GO:0031983","CC","GO:0031983","vesicle lumen","8/79","327/19869",4.67150994094804e-05,0.000866001502849379,0.000724871264274686,"TIMP1/S100A8/S100A9/S100A12/FCN1/THBS1/CXCL1/CFD",8
"GO:0070820","CC","GO:0070820","tertiary granule","6/79","164/19869",4.87601305931849e-05,0.000866001502849379,0.000724871264274686,"FTH1/TNFAIP6/MCEMP1/CXCL1/SLC11A1/OLR1",6
"GO:0019814","CC","GO:0019814","immunoglobulin complex","6/79","166/19869",5.21687652318903e-05,0.000866001502849379,0.000724871264274686,"IGLC3/IGLC2/IGHG4/IGKC/IGHG1/IGHG3",6
"GO:0042581","CC","GO:0042581","specific granule","5/79","160/19869",0.000443548605900757,0.00658356807802619,0.00551065939314811,"MCEMP1/CXCL1/OLR1/TNFRSF1B/PLAUR",5
"GO:0035579","CC","GO:0035579","specific granule membrane","4/79","91/19869",0.0004759205839537,0.00658356807802619,0.00551065939314811,"MCEMP1/OLR1/TNFRSF1B/PLAUR",4
"GO:0071745","CC","GO:0071745","IgA immunoglobulin complex","2/79","10/19869",0.000688056725095573,0.00878595510506655,0.00735412855972597,"IGLC3/IGKC",2
"GO:1905370","CC","GO:1905370","serine-type endopeptidase complex","2/79","11/19869",0.00083879029742852,0.00947296052703153,0.00792917431558758,"FCN1/PLAUR",2
