"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Agrococcus","DB_Control - DB_Treated","DB_Treated","Dunn",0.381,"r (|Z|/sqrt(N))",-1.1431,0.252999061474684,0.379498592212026,"ns"
"Alistipes","DB_Control - WT_Control","WT_Control","Dunn",0.3742,"r (|Z|/sqrt(N))",-1.1227,0.261555673671613,0.78466702101484,"ns"
"Lachnospiraceae_NK4A136_group","DB_Control - WT_Control","WT_Control","Dunn",0.3538,"r (|Z|/sqrt(N))",-1.0613,0.288536657947213,0.865609973841639,"ns"
"Escherichia-Shigella","DB_Control - WT_Control","DB_Control","Dunn",0.3538,"r (|Z|/sqrt(N))",1.0613,0.288536657947213,0.86560997384164,"ns"
"Muribaculum","DB_Control - DB_Treated","DB_Treated","Dunn",0.3538,"r (|Z|/sqrt(N))",-1.0613,0.288536657947213,0.43280498692082,"ns"
"Enterococcus","DB_Control - DB_Treated","DB_Treated","Dunn",0.3508,"r (|Z|/sqrt(N))",-1.0523,0.292659895634124,0.438989843451186,"ns"
"Corynebacterium","DB_Control - DB_Treated","DB_Treated","Dunn",0.3493,"r (|Z|/sqrt(N))",-1.0479,0.294696817509162,0.442045226263744,"ns"
"Methylobacterium-Methylorubrum","DB_Control - WT_Control","WT_Control","Dunn",0.3493,"r (|Z|/sqrt(N))",-1.0479,0.294696817509162,0.442045226263744,"ns"
"Mitochondria","DB_Control - DB_Treated","DB_Control","Dunn",0.3478,"r (|Z|/sqrt(N))",1.0435,0.29671752632206,0.44507628948309,"ns"
"Ruminococcus_torques_group","DB_Control - WT_Control","DB_Control","Dunn",0.3402,"r (|Z|/sqrt(N))",1.0206,0.307434165927395,0.922302497782186,"ns"
"Sphingobium","DB_Control - DB_Treated","DB_Control","Dunn",0.3402,"r (|Z|/sqrt(N))",1.0206,0.307434165927395,0.922302497782186,"ns"
"Lysobacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.3402,"r (|Z|/sqrt(N))",1.0206,0.307434165927395,0.922302497782186,"ns"
"Faecalibacterium","DB_Treated - WT_Control","DB_Treated","Dunn",0.3299,"r (|Z|/sqrt(N))",0.9898,0.322270377185603,0.966811131556808,"ns"
"Clostridia_UCG-014","DB_Treated - WT_Control","WT_Control","Dunn",0.3243,"r (|Z|/sqrt(N))",-0.973,0.330540606205286,0.49581090930793,"ns"
"Aerococcus","DB_Treated - WT_Control","DB_Treated","Dunn",0.3046,"r (|Z|/sqrt(N))",0.9137,0.360893223489732,1,"ns"
"Dietzia","DB_Control - WT_Control","WT_Control","Dunn",0.3032,"r (|Z|/sqrt(N))",-0.9097,0.36297143233983,1,"ns"
"Colidextribacter","DB_Control - DB_Treated","DB_Treated","Dunn",0.3019,"r (|Z|/sqrt(N))",-0.9058,0.365030271838304,0.365030271838304,"ns"
"Colidextribacter","DB_Treated - WT_Control","WT_Control","Dunn",0.3019,"r (|Z|/sqrt(N))",-0.9058,0.365030271838304,0.547545407757456,"ns"
"Bifidobacterium","DB_Control - WT_Control","WT_Control","Dunn",0.2994,"r (|Z|/sqrt(N))",-0.8982,0.36909096604728,1,"ns"
"Alistipes","DB_Control - DB_Treated","DB_Treated","Dunn",0.2994,"r (|Z|/sqrt(N))",-0.8982,0.36909096604728,0.55363644907092,"ns"
"Faecalibacterium","DB_Control - WT_Control","DB_Control","Dunn",0.2792,"r (|Z|/sqrt(N))",0.8375,0.402297144832081,0.603445717248121,"ns"
"Clostridia_vadinBB60_group","DB_Control - WT_Control","WT_Control","Dunn",0.2756,"r (|Z|/sqrt(N))",-0.8268,0.408344403586253,1,"ns"
"Blautia","DB_Control - DB_Treated","DB_Treated","Dunn",0.2722,"r (|Z|/sqrt(N))",-0.8165,0.414216178242525,0.621324267363788,"ns"
"Ruminococcus_torques_group","DB_Treated - WT_Control","DB_Treated","Dunn",0.2722,"r (|Z|/sqrt(N))",0.8165,0.414216178242525,0.621324267363788,"ns"
"Prevotella","DB_Treated - WT_Control","DB_Treated","Dunn",0.2722,"r (|Z|/sqrt(N))",0.8165,0.414216178242525,1,"ns"
"Sphingobium","DB_Treated - WT_Control","DB_Treated","Dunn",0.2722,"r (|Z|/sqrt(N))",-0.8165,0.414216178242525,0.621324267363788,"ns"
"Lysobacter","DB_Control - WT_Control","DB_Control","Dunn",0.2722,"r (|Z|/sqrt(N))",0.8165,0.414216178242525,0.621324267363788,"ns"
"Aquabacterium","DB_Control - DB_Treated","DB_Treated","Dunn",0.2657,"r (|Z|/sqrt(N))",-0.7971,0.425420020469349,0.425420020469349,"ns"
"Aquabacterium","DB_Control - WT_Control","DB_Control","Dunn",0.2657,"r (|Z|/sqrt(N))",0.7971,0.425420020469349,0.638130030704023,"ns"
"Lachnospiraceae_NK4A136_group","DB_Control - DB_Treated","DB_Treated","Dunn",0.2527,"r (|Z|/sqrt(N))",-0.7581,0.448392290843453,0.67258843626518,"ns"
"Escherichia-Shigella","DB_Control - DB_Treated","DB_Control","Dunn",0.2527,"r (|Z|/sqrt(N))",0.7581,0.448392290843454,0.67258843626518,"ns"
"Desulfovibrio","DB_Control - DB_Treated","DB_Treated","Dunn",0.2527,"r (|Z|/sqrt(N))",-0.7581,0.448392290843453,1,"ns"
"Rothia","DB_Control - DB_Treated","DB_Treated","Dunn",0.2527,"r (|Z|/sqrt(N))",-0.7581,0.448392290843453,0.67258843626518,"ns"
"Rothia","DB_Control - WT_Control","DB_Control","Dunn",0.2527,"r (|Z|/sqrt(N))",0.7581,0.448392290843453,0.448392290843453,"ns"
"Helicobacter","DB_Control - DB_Treated","DB_Treated","Dunn",0.2505,"r (|Z|/sqrt(N))",-0.7516,0.452263955585368,1,"ns"
"Coriobacteriaceae_UCG-002","DB_Control - DB_Treated","DB_Treated","Dunn",0.2495,"r (|Z|/sqrt(N))",-0.7485,0.454169967545685,0.454169967545685,"ns"
"Coriobacteriaceae_UCG-002","DB_Treated - WT_Control","WT_Control","Dunn",0.2495,"r (|Z|/sqrt(N))",-0.7485,0.454169967545684,0.681254951318527,"ns"
"Clostridia_UCG-014","DB_Control - DB_Treated","DB_Treated","Dunn",0.2495,"r (|Z|/sqrt(N))",-0.7485,0.454169967545685,0.454169967545685,"ns"
"Bacillus","DB_Control - WT_Control","WT_Control","Dunn",0.2495,"r (|Z|/sqrt(N))",-0.7485,0.454169967545685,0.454169967545685,"ns"
"Romboutsia","DB_Control - DB_Treated","DB_Treated","Dunn",0.2495,"r (|Z|/sqrt(N))",-0.7485,0.454169967545685,1,"ns"
"Ralstonia","DB_Control - DB_Treated","DB_Control","Dunn",0.2485,"r (|Z|/sqrt(N))",0.7454,0.456056540250256,1,"ns"
"Pseudarthrobacter","DB_Treated - WT_Control","WT_Control","Dunn",0.2335,"r (|Z|/sqrt(N))",-0.7006,0.483522059868049,0.483522059868049,"ns"
"Staphylococcus","DB_Control - DB_Treated","DB_Treated","Dunn",0.2255,"r (|Z|/sqrt(N))",-0.6765,0.498735035366122,0.748102553049182,"ns"
