log2_PSME3_TPM,log2_PGP9_5_TPM
6.120647656425325,6.837384623865928
6.212209595384033,6.888997527091734
6.393498145057226,6.901958244077621
6.9123891285976775,6.940610430317541
7.2797493241205675,7.005439610635081
6.474288091197263,7.095506631174396
5.215800095289357,7.108352365801412
6.3533579417148225,7.134471868699597
6.081110353315754,7.160022760206654
6.641253979886669,7.172925986013105
4.966209096583258,7.198732437626008
7.03737948570046,7.302213804183468
6.592780012202648,7.301958244077621
6.934732598077031,7.2590087890625
6.706175552450348,7.308487036920363
5.458169933709465,7.314803978704637
6.472779854409785,7.340918756300404
5.934180377843778,7.353821982106855
6.128076084212298,7.379628433719759
6.905167803944121,7.456796953755041
6.318094195326526,7.469700376449094
6.774132336491528,7.456846569430444
5.048834206599949,7.508352168913811
6.416858063565979,7.527730240360384
6.04514738730083,7.511874291204638
6.159462070978737,7.5989879977318555
6.603552005021319,7.650345537739415
5.3540008380554305,7.727764892578126
6.267081406214935,7.721553285660283
6.805781640099024,7.766729933215727
6.891957582648395,7.7925363848286295
6.11481753885211,7.869877181514617
5.738241746994923,7.908352168913811
5.639458647750224,7.960022957094255
6.832711622145702,7.998987997731856
6.56768535840019,8.037384426978328
5.64129381162688,8.101900556010586
6.648074905148956,8.140582866053428
6.4933938483575515,8.179633159022178
6.75435990448272,8.192281021610384
5.127788988863331,8.192281021610384
5.819031693134958,8.21802958826865
6.606499772953602,8.269955739667338
6.3542879334043985,8.360273595010081
6.521253822093806,8.373176820816532
5.1385609816820015,8.372926182900706
6.19066560974669,8.424481201171876
7.815401197121858,8.437442311932964
5.906320239739957,8.51511702998992
6.721650758808348,8.527935987903227
5.5389598798495,8.592223136655747
6.827990656909224,8.947012230657762
6.730377690368323,8.979633159022178
6.654973740637623,8.992536384828629
6.553104311602334,8.947461331275202
6.9952215061153495,9.018338111139114
7.228327588504264,9.056797150642641
6.248076242005162,9.082603602255546
6.956589539560424,9.121568642893145
5.750126343869221,9.25060090095766
6.675405286586905,9.276094104397682
7.002115739312163,9.353571245747228
6.596657771824506,9.379628433719759
7.543663148178018,9.457052513860887
5.25845660170276,10.16222416047127
5.143377937577143,10.16816169984879
7.005063507244445,10.34737504528415
6.761621334822431,3.534199376260081
6.781893115497363,3.707572297127016
6.558874599381452,3.96042716733871
6.245705732965384,4.153956653225807
6.161093583440866,4.252049206149194
6.306531594514419,4.616761829007057
6.325599218399349,4.7822175056703635
6.3267504488330335,4.800000000000001
5.8279813427471385,4.8891235351562505
5.879480331119558,5.064842568674395
6.247808322872251,2.9121991557459683
6.635866997271936,1.4311169039818559
6.3803641903122195,3.147553080897178
5.949412155836232,0.8634135584677427
6.7509479625434805,1.7923087827620972
7.022164308832192,2.231269688760081
6.456634685851942,2.6957858177923395
6.218443728434975,3.140843939012097
6.014829296612012,7.573373117754537
5.923067486692801,4.163643129410283
6.457888152911805,6.567072911416331
5.872667624235581,3.7672284526209685
6.171523034251571,2.153518775201613
6.109165595720658,2.117959299395162
6.47441498295837,2.9671898626512103
6.152136208553074,4.929937941028226
6.217564033220658,4.9978291173135085
6.781416778290508,1.6768672820060484
6.320290803481261,1.7324470766129032
6.869297212501403,2.834704983618952
6.9900764725580675,2.792383600050403
6.528430767504489,3.005296276461694
6.480932814428579,4.075840316280242
6.070065839072319,1.1731169669858872
6.101431115525415,1.3709701045866947
6.4465224644440084,1.9435672883064523
6.323971650758809,3.172731067288307
5.807176682422576,3.3790070564516137
6.273487467740125,3.366322769657258
5.860928657024939,3.356324817288307
6.760237359915003,4.527570170740928
6.954133230651088,7.314666944934476
6.060057826701358,7.482408683530746
