"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Peptostreptococcus_stomatis",0,0,0.000269559943392412,0,0,0,0,0,0,0,0.000539119886784824,0,0,0,6.7389985848103e-05,0,0.000134779971696206,0,0,6.7389985848103e-05,0,0,0.00023586495046836,0,0,0,0,0,0,0,0.000741289844329133,0,0.000101084978772154,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0.000269559943392412
"Persicaria_minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Photobacterium_damselae",0,0,0,0,0,0,6.7389985848103e-05,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0.000269559943392412,0,0,0,0,0,0,0,6.7389985848103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202169957544309
"Planifilum_composti",0,0,0.000370644922164566,0,0,0,0.000774984837253184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438034908012669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Planomicrobium_glaciei",0,0,0.000134779971696206,0,0,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polaribacter_gangjinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023586495046836,0,0,0,0,0,0,0,0,0,0
"Polyangium_sp.",0,0,0,0,0.000505424893860772,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0.000269559943392412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,6.7389985848103e-05,0,0
"Pontibacter_humi",0,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pontibacter_populi",0,0,0.000471729900936721,0,0,0,0.000471729900936721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas_endodontalis",0,0,0,0.000134779971696206,0.00448143405889885,0,0,0,0,0,0,0,0,0,0.000202169957544309,0,0.000370644922164566,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0.000202169957544309,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,6.7389985848103e-05,0,6.7389985848103e-05,0,0
