"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Deferribacteres",0.0141518970281016,0.0011793247523418,0.000438034908012669,0.000606509872632927,0.0206887256553676,0.0011793247523418,0.000101084978772154,0,0.0248332097850259,0.0034031942853292,0.00256081946222791,0,0.013713862120089,0.00192061459667093,0.00522272390322798,0.000303254936316463,0.00977154794797493,0.00357166924994946,0.0011793247523418,0,0.0128377923040636,0.0023586495046836,0.000943459801873442,0.00067389985848103,0.000707594851405081,0.00619987869802547,0.000640204865556978,0.000842374823101287,0.00219017454006335,0.00946829301165847,0.00185322461082283,3.36949929240515e-05,0.0116921625446459,0.0239908349619247,0.000707594851405081,0.000606509872632927,0.00589662376170901,0.00963676797627873,0.00741289844329133,0,0,0.026854909360469,0.00808679830177236,0.000168474964620257,0.00633465866972168,0.00219017454006335,0.000741289844329133
"Desulfovibrionia",0.000842374823101287,0.00171844463912663,0.00121301974526585,0.00144888469573421,0.00262820944807602,0.00411078913673428,0.000808679830177236,3.36949929240515e-05,0.00249342947637981,0.00481838398813936,0.00552597883954444,0,0.00603140373340521,0.00245973448345576,0.0011119347664937,0.000977154794797493,0.00623357369094953,0.00394231417211402,0.0010445447806456,0,0.00616618370510142,0.00252712446930386,0.000606509872632927,0.00175213963205068,0.000977154794797493,0.0112541276366332,0.000539119886784824,0.00090976480894939,0.00245973448345576,0.00535750387492418,0.0033358042994811,0.000134779971696206,0.00731181346451917,0.00764876339375969,0.00242603949053171,0.000471729900936721,0.0140845070422535,0.00508794393153177,0.00485207898106341,0,0.0244962598557854,0.0101758878630635,0.00353797425702541,0.0010445447806456,0.00758137340791158,0.00138149470988611,0.00309993934901274
"Saccharimonadia",0,0.00023586495046836,6.7389985848103e-05,0.000101084978772154,0.00131410472403801,0.01438776197857,0,0.000336949929240515,0.00259451445515196,0.00818788328054451,0.000606509872632927,0,0.000505424893860772,0.00336949929240515,0.000168474964620257,0.00067389985848103,0.0011119347664937,0.00994002291259519,0,0,0.000471729900936721,0.00131410472403801,0.000168474964620257,0.0011119347664937,0.000134779971696206,0.0144888469573421,0.000303254936316463,0.000943459801873442,0.000572814879708875,0.0231147651458993,0.000539119886784824,0,0.000471729900936721,0.00293146438439248,0.000438034908012669,0.000471729900936721,0.000606509872632927,0.0140845070422535,0,0,0.000168474964620257,0.00990632791967114,0.000202169957544309,0.000370644922164566,0.000606509872632927,0.00192061459667093,0.000134779971696206
"Acidimicrobiia",0,0,0.0147247119078105,0.000438034908012669,0.000539119886784824,0,0.0226767302378866,0.000134779971696206,0.0151627468158232,0,0.00131410472403801,0,0,0,0.000640204865556978,0,0.000134779971696206,0,0,0,0,0,0.0168138014691017,3.36949929240515e-05,0,0,0.000438034908012669,3.36949929240515e-05,0.000370644922164566,0,0.000707594851405081,0.000202169957544309,0.00023586495046836,0,0.000303254936316463,0,0.000134779971696206,0,0,3.36949929240515e-05,0,0,6.7389985848103e-05,0.000606509872632927,0.000269559943392412,0,0.000943459801873442
"Gemmatimonadetes",0.000640204865556978,0,0.0149942718512029,0,6.7389985848103e-05,0,0.0173529213558865,0.000539119886784824,0.00151627468158232,0,0.00502055394568367,0,0.00067389985848103,0,0.00158366466743042,0,0,0,0,0,0.00131410472403801,0,0.0122312824314307,0,0,0,0,0,0.00107823977356965,0,0.00212278455421524,0,0,0,0.0022912595188355,0,0.00181952961789878,0,0,0,0,0,6.7389985848103e-05,0,0.00134779971696206,0,0.00404339915088618
"Vicinamibacteria",0.000134779971696206,0,0.0116247725587978,0,0,0,0.0171844463912663,0,0.000808679830177236,0,0.00128040973111396,0,0,0,0.000370644922164566,0,0,0,0,0,0.00023586495046836,0,0.0103443628276838,0,0,0,0,0,0.000269559943392412,0,0.00101084978772154,0,0,0,0.000977154794797493,0,0.000471729900936721,0,0,0,0,0,0,0,0.000539119886784824,0,0.00188691960374688
"Polyangia",0.000101084978772154,0,0.0132421322191522,0,6.7389985848103e-05,0,0.0169485814407979,0,0.00154996967450637,0,0.00151627468158232,0,6.7389985848103e-05,0,0.000404339915088618,0.000134779971696206,6.7389985848103e-05,0.000404339915088618,0.000808679830177236,0,0.000269559943392412,0,0.0105802277781522,0,0,0,0,0,0.000303254936316463,0,0.000707594851405081,0,0,0,0.000741289844329133,0,6.7389985848103e-05,0,3.36949929240515e-05,6.7389985848103e-05,0,0,0,0,0.000741289844329133,0,0.00205539456836714
"Negativicutes",0,0,0.00134779971696206,0.000168474964620257,0.00724442347867107,0,0.000977154794797493,0,0,0.00195430958959499,0.0139160320776333,3.36949929240515e-05,0.00168474964620257,0,0.00202169957544309,0.0010445447806456,0.00171844463912663,0.00138149470988611,0,0.000101084978772154,0,0,0.00208908956129119,3.36949929240515e-05,0,0,0.000572814879708875,0,0.000202169957544309,0,0.0102769728418357,0,0.000101084978772154,0,0.00293146438439248,0,0,0,0,0,0,0,0.000505424893860772,0,0.000471729900936721,0,0.0023586495046836
"Cyanobacteriia",0,0,0.0056944538041647,0,0.000134779971696206,0,0.00242603949053171,0,0.00225756452591145,0,0.00684008356358245,0.000134779971696206,0,0,0.00778354336545589,6.7389985848103e-05,0,6.7389985848103e-05,0.000876069816025339,0,6.7389985848103e-05,0,0.00192061459667093,0,0,0.000101084978772154,0.00114562975941775,0.000101084978772154,3.36949929240515e-05,0,0.00478468899521531,0.000202169957544309,0.000134779971696206,3.36949929240515e-05,0.0120628074668104,0,0.000269559943392412,0.000168474964620257,0.000505424893860772,0,0,0,0.000134779971696206,0.000842374823101287,0,0.000168474964620257,0.0033358042994811
"Acidobacteriae",0.00208908956129119,0,0.0102769728418357,0,0,0,0.0101758878630635,0.000774984837253184,0.00545858885369634,0,0.00636835366264573,0,0.00411078913673428,0,0.00296515937731653,0,0,0.000202169957544309,0,0.000134779971696206,0.00276298941977222,0,0.0102095828559876,0,0,0,0,0,0.00165105465327852,0,0.00471729900936721,0,0.000101084978772154,0,0.00326841431363299,0,0.00643574364849383,0,0,0,0,0,0,0,0.00165105465327852,0,0.00606509872632927
