"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Bryobacter",0.000101084978772154,0,0.00663791360603814,0,0,0,0.00771615337960779,0,6.7389985848103e-05,0,0.000808679830177236,0,6.7389985848103e-05,0,0.000269559943392412,0,0,0.000202169957544309,0,0,0.000269559943392412,0,0.00724442347867107,0,0,0,0,0,0.000134779971696206,0,0.000471729900936721,0,0,0,0.000370644922164566,0,0.000505424893860772,0,0,0,0,0,0,0,0.000134779971696206,0,0.000808679830177236
"Rikenella",0.000269559943392412,0,0,0,3.36949929240515e-05,0,0,0,0.000269559943392412,0.00242603949053171,0,0,0.000101084978772154,0.0011793247523418,3.36949929240515e-05,0,0,0.00175213963205068,0,0,0.00023586495046836,0.0012467147381899,0,0.000202169957544309,0.0011793247523418,0.00205539456836714,0,0.000269559943392412,0,0.00697486353527866,0,0,3.36949929240515e-05,0.00259451445515196,3.36949929240515e-05,0.000572814879708875,0,0.00758137340791158,0.00090976480894939,0,0,0.00299885437024058,0,0,0,0.0010445447806456,0
"Delftia",0.000168474964620257,0.000505424893860772,0.00397600916503808,0.000134779971696206,0.000168474964620257,0.000303254936316463,0.000842374823101287,0.000505424893860772,0,0,0.000808679830177236,0.000404339915088618,0.000134779971696206,0,0.00471729900936721,0.00272929442684817,0.000336949929240515,0.000336949929240515,0.00131410472403801,0.00404339915088618,0.000774984837253184,0.000134779971696206,0.00245973448345576,0.00245973448345576,0.00185322461082283,0.000101084978772154,0.00198800458251904,0.000808679830177236,6.7389985848103e-05,0.000134779971696206,0.00107823977356965,0.00737920345036728,0.000505424893860772,6.7389985848103e-05,0.000977154794797493,0.00121301974526585,0.0021564795471393,0.0011119347664937,0.00350427926410135,0.00370644922164566,0,6.7389985848103e-05,0.00336949929240515,0.00363905923579756,0.00023586495046836,0.000303254936316463,0.00518902891030393
"Butyricicoccus",0.000977154794797493,0,0.000336949929240515,0.0011119347664937,0.000808679830177236,0.000269559943392412,0.000269559943392412,0,0.00185322461082283,0.000943459801873442,0.00128040973111396,0,0.00411078913673428,0.000202169957544309,0.000606509872632927,0.000134779971696206,0.00296515937731653,0.000438034908012669,0.000168474964620257,6.7389985848103e-05,0.00734550845744322,0.000303254936316463,0.0012467147381899,0,0.000269559943392412,0.000404339915088618,0,0,0.00128040973111396,0.000404339915088618,0.000741289844329133,0,0.00404339915088618,0.00441404407305074,0.00114562975941775,0.000202169957544309,0.00181952961789878,0.00306624435608869,0.000101084978772154,0.000370644922164566,0,0.00023586495046836,0.00148257968865827,0.000168474964620257,0.00252712446930386,0.000471729900936721,0.00249342947637981
"Glutamicibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00731181346451917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000370644922164566,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154
"Vicinamibacteraceae",0,0,0.00545858885369634,0,0,0,0.00727811847159512,0,0.000303254936316463,0,0.000539119886784824,0,0,0,0.00023586495046836,0,0,0,0,0,0.00023586495046836,0,0.00407709414381023,0,0,0,0,0,0,0,0.000505424893860772,0,0,0,0.000640204865556978,0,0.000202169957544309,0,0,0,0,0,0,0,0.000269559943392412,0,0.0010445447806456
"Eubacterium_hallii_group",0,0,0.00161735966035447,0.000168474964620257,0.000202169957544309,0,0.0011119347664937,0,0,0,0.00721072848574702,0,3.36949929240515e-05,0,0.00195430958959499,0,0,3.36949929240515e-05,0,0,0,0,0.00181952961789878,3.36949929240515e-05,0,0,0,0,0,0,0.00198800458251904,0,0.000370644922164566,0,0.00232495451175955,0,0,0,0.000101084978772154,0.000303254936316463,0,0,0,6.7389985848103e-05,0,0,0.00488577397398746
"Microlunatus",0,0,0.00518902891030393,0,0,0,0.00717703349282297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549228384662039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium",0.000134779971696206,0.000505424893860772,0.00023586495046836,0.000202169957544309,0.000977154794797493,0.00023586495046836,0.00114562975941775,0,6.7389985848103e-05,0.000202169957544309,0.0068063885706584,0,0.000303254936316463,0.000303254936316463,0.00067389985848103,0.000168474964620257,0.00114562975941775,0.00067389985848103,0.000471729900936721,0,0.000640204865556978,0,0.00360536424287351,0,0,0.000101084978772154,0.000471729900936721,0.000202169957544309,0.00134779971696206,0.00144888469573421,0.0011119347664937,0.000202169957544309,0.00192061459667093,0,0.000943459801873442,0,6.7389985848103e-05,6.7389985848103e-05,0.000876069816025339,0.00023586495046836,0,0.000134779971696206,0.000101084978772154,0.000134779971696206,0.0012467147381899,0.00023586495046836,0.00175213963205068
"Rubrobacter",0,0,0.00488577397398746,0,0,0,0.0068063885706584,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609879371925332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus",0,0,0,0.000134779971696206,0.00677269357773435,0,0,0,0,0,0.000202169957544309,0,0,0,0.000876069816025339,0.000168474964620257,0.000977154794797493,0.00023586495046836,0,0,0,0.000134779971696206,0,0,3.36949929240515e-05,0,0,0.000202169957544309,0.000336949929240515,0.000505424893860772,0.000269559943392412,0,0.000606509872632927,0.000134779971696206,0,0,0,0,0,0,0,0,0.00023586495046836,0,0.000505424893860772,0,0
