index,Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Crenarchaeota,k__Archaea;p__Euryarchaeota,k__Archaea;p__Halobacterota,k__Archaea;p__Nanoarchaeota,k__Archaea;p__Thermoplasmatota,k__Bacteria;__,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Armatimonadota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Caldisericota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Deinococcota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Entotheonellaeota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__GAL15,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Latescibacterota,k__Bacteria;p__MBNT15,k__Bacteria;p__Methylomirabilota,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__RCP2-54,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Synergistota,k__Bacteria;p__Thermotogota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__WPS-2,k__Bacteria;p__Zixibacteria,group1
WTS.1.F,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,213.0,0.0,11676.0,0.0,0.0,97.0,0.0,20.0,286.0,0.0,0.0,151.0,0.0,0.0,0.0,14370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,2296.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,WTS.F
dbS.2.F,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,1087.0,0.0,10324.0,6.0,0.0,100.0,0.0,8.0,106.0,9.0,0.0,117.0,0.0,0.0,0.0,15306.0,19.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,295.0,0.0,2197.0,0.0,0.0,0.0,0.0,4.0,0.0,56.0,10.0,0.0,dbS.F
dbN.1.O,164.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,192.0,0.0,806.0,0.0,0.0,162.0,0.0,3.0,18.0,0.0,0.0,43.0,0.0,0.0,0.0,26414.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,dbN.O
dbN.2.O,453.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,27.0,164.0,0.0,89.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26010.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,7.0,10.0,0.0,2252.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,dbN.O
dbS.1.B,160.0,57.0,1.0,0.0,5.0,0.0,0.0,0.0,368.0,122.0,191.0,0.0,2546.0,0.0,0.0,1670.0,25.0,0.0,407.0,0.0,0.0,183.0,0.0,0.0,0.0,22660.0,11.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,43.0,22.0,0.0,1168.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,dbS.B
dbN.1.B,180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,66.0,64.0,0.0,1340.0,0.0,0.0,1813.0,26.0,3.0,420.0,0.0,0.0,25.0,0.0,0.0,0.0,25393.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,dbN.B
dbS.3.B,37.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,89.0,316.0,0.0,2720.0,0.0,0.0,727.0,21.0,2.0,381.0,0.0,0.0,183.0,0.0,0.0,0.0,23969.0,0.0,0.0,39.0,0.0,0.0,1.0,24.0,0.0,17.0,14.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,dbS.B
WTS.1.B,946.0,110.0,3.0,33.0,0.0,5.0,0.0,0.0,710.0,225.0,2385.0,0.0,4715.0,0.0,0.0,159.0,11.0,11.0,175.0,4.0,0.0,418.0,0.0,0.0,0.0,17662.0,0.0,0.0,54.0,0.0,0.0,4.0,14.0,0.0,21.0,18.0,32.0,1789.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,WTS.B
dbN.3.B,45.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,88.0,235.0,815.0,0.0,1899.0,0.0,0.0,1925.0,170.0,71.0,737.0,12.0,0.0,74.0,0.0,23.0,0.0,20754.0,0.0,0.0,142.0,0.0,12.0,7.0,69.0,0.0,31.0,77.0,0.0,2469.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,dbN.B
WTS.1.L,3957.0,1484.0,14.0,0.0,0.0,0.0,0.0,0.0,4833.0,0.0,1067.0,0.0,3960.0,0.0,0.0,44.0,0.0,30.0,220.0,0.0,0.0,144.0,0.0,0.0,0.0,12410.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,WTS.L
WTN.1.L,4096.0,616.0,22.0,0.0,0.0,0.0,0.0,0.0,4817.0,0.0,285.0,0.0,943.0,0.0,0.0,7.0,4.0,37.0,19.0,0.0,0.0,16.0,0.0,0.0,0.0,1261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17532.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,WTN.L
WTN.2.O,764.0,171.0,3.0,0.0,0.0,0.0,0.0,0.0,14223.0,0.0,115.0,0.0,186.0,0.0,0.0,20.0,8.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,7021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTN.O
WTS.1.O,465.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,7037.0,0.0,157.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17228.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WTS.O
WTS.2.O,939.0,617.0,10.0,6.0,0.0,0.0,0.0,13.0,3408.0,0.0,595.0,0.0,1471.0,0.0,0.0,16.0,0.0,27.0,5.0,0.0,0.0,31.0,2.0,0.0,0.0,20006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2427.0,0.0,0.0,5.0,0.0,0.0,0.0,89.0,0.0,0.0,WTS.O
WTN.3.O,1024.0,92.0,4.0,0.0,0.0,0.0,0.0,0.0,2211.0,0.0,308.0,0.0,933.0,0.0,0.0,5.0,6.0,1.0,18.0,0.0,0.0,14.0,0.0,0.0,0.0,23326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1719.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,WTN.O
WTN.1.O,555.0,173.0,3.0,0.0,0.0,0.0,0.0,0.0,2810.0,0.0,957.0,0.0,2041.0,0.0,0.0,5.0,9.0,3.0,25.0,0.0,0.0,27.0,0.0,0.0,0.0,22469.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,28.0,0.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,WTN.O
dbS.3.O,277.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.0,0.0,758.0,0.0,2403.0,0.0,0.0,40.0,0.0,0.0,20.0,1.0,0.0,52.0,0.0,0.0,0.0,21041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,3516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dbS.O
WTN.2.L,409.0,109.0,9.0,0.0,0.0,0.0,0.0,0.0,1758.0,245.0,1757.0,4.0,2837.0,5.0,0.0,99.0,42.0,142.0,55.0,0.0,0.0,107.0,1.0,6.0,0.0,8533.0,160.0,1.0,68.0,0.0,0.0,10.0,56.0,0.0,29.0,29.0,0.0,12975.0,0.0,0.0,8.0,0.0,0.0,0.0,223.0,1.0,0.0,WTN.L
WTS.2.B,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13394.0,0.0,3728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,0.0,0.0,0.0,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,WTS.B
dbS.2.L,430.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3790.0,0.0,157.0,0.0,316.0,0.0,0.0,34.0,5.0,26.0,35.0,0.0,0.0,31.0,0.0,0.0,0.0,15523.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,9275.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,dbS.L
dbS.1.L,1614.0,176.0,11.0,0.0,0.0,0.0,8.0,0.0,525.0,153.0,1430.0,2.0,910.0,1.0,0.0,87.0,11.0,233.0,155.0,0.0,0.0,36.0,1.0,0.0,0.0,12523.0,11.0,0.0,49.0,3.0,0.0,16.0,22.0,0.0,13.0,5.0,0.0,11552.0,0.0,0.0,2.0,0.0,0.0,0.0,129.0,0.0,0.0,dbS.L
WTN.3.B,99.0,53.0,0.0,0.0,0.0,18.0,0.0,0.0,154.0,42.0,882.0,0.0,5777.0,0.0,25.0,3650.0,128.0,9.0,347.0,0.0,0.0,423.0,0.0,0.0,0.0,17230.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,644.0,0.0,4.0,14.0,0.0,84.0,0.0,58.0,0.0,0.0,WTN.B
