NL,LP,LN,CA
0,,,0.699762197
0,,,1.327662689
0,,,0
0,,,0.898510867
0,,,0.43899426
1.094099406,,,1.342304428
0,,,0.882092275
1.059899431,,,0
0,,,0.494284494
0,,,0.854834908
0,,,0
0,,,0.285040063
0,,,1.020666205
1.673516172,,,1.321944442
0,,,0.627979311
0,,,0.936127552
0,,,0.980308718
0,,,0.52219868
0.903843972,,,0
0.941793925,,,0
0,,,0
0,,,1.03421879
0,,,0
0,,,0.810063139
0,,,0.791271518
1.891221928,,,0.499132173
0,,,0.794350596
0.864816557,,,1.257029294
0,,,0.831953183
1.291290741,,,1.038876198
0.998889874,,,0.904894175
0,,,0.839750655
0,,,0
0.801329265,,,0
0,,,1.436695775
,,,0.645359898
,,,1.32654486
,,,0.911695492
,,,0.420008935
,,,0.508410676
,,,0
,,,1.15967674
,,,1.024802029
,,,1.023087035
,,,0.508701353
,,,1.047127541
,,,0.502340926
,,,0
,,,1.016784094
,,,1.078747548
,,,0.841061129
,,,1.131851099
,,,1.266410924
,,,0
,,,1.363629668
,,,0.945339865
,,,1.012803596
,,,1.062246981
,,,0
,,,0.364593009
,,,1.017967937
,,,0
,,,0.957633422
,,,0
,,,0
,,,1.201156852
,,,0.914643902
,,,0.92632185
,,,0
,,,0
,,,1.064896405
,,,0.878201947
,,,1.15861106
,,,0.722172535
,,,0.71480439
,,,0.923795912
,,,1.132706108
,,,0.756935647
,,,0.472734696
,,,0.781861316
,,,0.810409735
,,,0.64414786
,,,0.625651978
,,,0.887933924
,,,0.473692889
,,,0.878160844
,,,1.045629382
,,,0.206073422
,,,1.324862489
,,,1.208024664
,,,0.852255387
,,,0.744824761
,,,0
,,,1.146107248
,,,0
,,,0.644556128
,,,0.640900878
,,,0.637267234
,,,0.396535604
,,,1.51745848
,,,0
,,,0.63448656
,,,0.904500044
,,,0.680816871
,,,0.360290175
,,,0.692248394
,,,0.825699442
,,,1.236313348
,,,0
,,,0.802822101
,,,0.916170749
,,,0.702167664
,,,0.869095916
,,,1.022220481
,,,0.744766677
,,,1.299024457
,,,0.928183624
,,,0.622547519
,,,0.797253938
,,,0.600973169
,,,0.541288183
,,,1.004632096
,,,0
,,,0.70182114
,,,1.127750333
,,,0.694449721
,,,0
,,,0.629286079
,,,1.721601144
,,,1.207038174
,,,0.496425706
,,,0.923383979
,,,0.363761607
,,,1.091222821
,,,1.017648193
,,,0.81963887
,,,0.736216675
,,,0.567088236
,,,0.630064634
,,,1.205834908
,,,0.39827984
,,,0
,,,1.164431123
,,,0
,,,0
,,,0.803502601
,,,0
,,,0.766740405
,,,0
,,,0
,,,0
,,,0.765589994
,,,0.681624702
,,,0
,,,0.506018938
,,,0.947558583
,,,0.74245105
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0.794616641
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0.370355645
,,,0.685632809
,,,0
,,,0.917296912
,,,0.729478385
,,,1.393044646
,,,0
,,,1.012357206
,,,0.723249788
,,,0
,,,0
,,,0.746163319
,,,1.117773087
,,,1.09615169
,,,0
,,,0
,,,0
,,,0
,,,0.997483399
,,,0.856741438
,,,0
,,,0.67642691
,,,0
,,,0
,,,0.586509526
,,,0.49295423
,,,0
,,,0.410802057
,,,0.647190443
,,,0
,,,0.801430863
,,,0
,,,0.658808229
,,,0.826012177
,,,0.845928779
,,,0
,,,0
,,,0
,,,0.643011832
,,,0.627124785
,,,0.629204242
,,,0.870828358
,,,1.211657286
,,,1.018419712
,,,0.748327244
,,,0
,,,0
,,,1.513578423
,,,0.637162242
,,,0
,,,1.010853783
,,,0
,,,0.566824122
,,,1.134098547
,,,0
,,,0
,,,0
,,,0.737352389
,,,1.201481911
,,,0
,,,0
,,,0
,,,1.021253194
,,,0.839265007
,,,1.249202979
,,,0.596229644
,,,0.714351576
,,,0
,,,0
,,,0
,,,0.458971185
,,,1.157427854
,,,0
,,,0.574383919
,,,0.620175422
,,,0
,,,0
,,,0.908944209
,,,0
,,,0.500663041
,,,0
,,,0.996566094
,,,1.330362731
,,,0.581492305
,,,1.23380572
,,,0
,,,0.61965963
,,,0.497206736
,,,0
,,,0
,,,0
,,,0
,,,0
