"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway","61/2756","91/4955",0.67032967032967,1.20518269828865,2.21141190300497,0.0167716258649138,0.14297811049839,0.125345835411461,"Spp1/Adcy4/Rras/Mapk3/Adcy3/Calml3/Acta2/Smad4/Map1lc3a/Adcy7/Gnai3/Pik3c3/Plcb1/Adcy9/Akt3/Smad2/Aplnr/Hras/Myl4/Prkaca/Mtor/Gngt2/Map2k2/Gng11/Mylk3/Becn1/Klf2/Rps6/Agtr1a/Tgfbr1/Gnai1/Calml4/Pik3r6/Map1lc3b/Calm1/Rps6kb2/Jag1/Adcy6/Gnb5/Hdac5/Gnb1/Adcy1/Calm3/Plcb3/Plat/Mylk/Mylk4/Ryr2/Pik3cg/Prkaa1/Itpr2/Calm2/Mef2b/Apln/Gnaq/Agtr1b/Plcb2/Prkce/Nos3/Hdac4/Mras",61
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis","18/2756","23/4955",0.782608695652174,1.40704865274184,2.1903004821089,0.0212532385848201,0.176764740424967,0.154965847447726,"Gpx4/Map1lc3a/Cybb/Pcbp2/Acsl4/Trf/Slc7a11/Vdac2/Alox15/Sat1/Ftl1/Gclm/Acsl5/Map1lc3b/Fth1/Lpcat3/Atg7/Prnp",18
"Organismal Systems","Circulatory system","mmu04260","Cardiac muscle contraction","34/2756","48/4955",0.708333333333333,1.27350931301403,2.13152142070146,0.022053766383868,0.179055579449976,0.156974176767381,"Cox7c/Uqcr11/Uqcrh/Cox5b/mt-Co3/Tpm2/Cox4i1/Uqcr10/Cox6a1/Uqcrb/Tnnt2/mt-Co2/Cox8a/Cox7a2/Cacna1d/Atp1a2/Atp1a3/Atp1b1/Tpm1/Myl4/Cox5a/Cox7b/Hrc/mt-Co1/mt-Cytb/Trdn/Uqcrfs1/Cacna1c/Atp1b2/Atp2a3/Uqcrc1/Tpm4/Ryr2/Atp1a1",34
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","73/2756","112/4955",0.651785714285714,1.17184260315157,2.05914823919458,0.0239973444756747,0.187526888908742,0.164400791634767,"Map2k7/Myl6/Myh9/Myl9/Hspa4/Actn4/Itgb1/Crb3/Cacna1d/Cldn15/Myh10/Actr2/Ocln/Rhoa/Jun/Arpc5l/Actg1/Rapgef6/Rapgef2/Nedd4/Actr3/Arpc1a/Rock2/Prkaca/Tjp1/Arhgef18/Erbb2/Myh11/Rdx/Stk11/Rac1/Prkci/Mpdz/Was/Cftr/Cgnl1/Arpc5/Rab13/Pard6g/Cgn/Rock1/Synpo/Jam3/Ppp2ca/Cldn5/Cdk4/Myl12b/Amotl1/Myh14/Patj/Cldn4/Tiam1/Cldn3/Mapk9/Runx1/Scrib/Amotl2/Arhgap17/Actr3b/Tuba1c/Prkaa1/Cldn10/Ybx3/Ppp2r2c/Dlg1/Vasp/Cdc42/Prkce/Actb/Cldn18/Cldn11/Jam2/Cldn8",73
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","53/2756","79/4955",0.670886075949367,1.20618305744888,2.0679482462683,0.0243038490381432,0.187526888908742,0.164400791634767,"Tlr4/Hc/Itgb2/Fpr1/Tlr8/Mapk3/Slc25a4/Vwf/Tlr7/Cybb/Vdac1/Plcb1/Ncf2/Akt3/Itgam/Actg1/Selp/C3/Fpr2/Itgal/Hdac3/Mtor/Map2k2/Pik3r2/C5ar1/H3f3a/Vdac2/Rac2/Rac1/H3f3b/Cyba/Slc25a5/Ager/Ppif/Mapk13/Plcg1/Ncf4/Hdac11/Hdac5/Cr1l/Plcb3/Plcg2/Fga/Fgg/Atg7/Hdac10/Itgb3/Gsdmd/Plcb2/Hdac4/Actb/Hdac1/Clcn5",53
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","59/2756","89/4955",0.662921348314607,1.19186330946984,2.04458831990065,0.0253955263395488,0.187526888908742,0.164400791634767,"Tlr4/Il1b/Mapk3/Rps6ka3/Map2k7/Fos/Rps6ka2/Itgb1/Arhgef28/Lcp2/Pkn2/Pkn1/Akt3/Traf6/Actr2/Rhoa/Jun/Arpc5l/Actg1/Actr3/Arpc1a/Rock2/Map2k2/Wasf2/Pik3r2/Myd88/Dock1/Rac2/Rac1/Crk/Was/Arpc5/Arf6/Arhgef12/Pycard/Rock1/Map2k3/Mapk13/Ccl12/Vav3/Vav2/Plcg1/Skap2/Rps6ka1/Mapk9/Limk1/Wasl/Actr3b/Fn1/Tbk1/Rac3/Il18/Nfatc1/Pxn/Itga5/Cdc42/Gnaq/Actb/Irak1",59
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","131/2756","210/4955",0.623809523809524,1.12154433616698,2.01479682613179,0.025413128729383,0.187526888908742,0.164400791634767,"Hsp90aa1/Thbs1/Spp1/Tlr4/Jak1/Hsp90ab1/Mapk3/Hgf/Csf3r/Areg/Vwf/Pik3ap1/Il3ra/Jak2/Col1a1/Efna1/Mcl1/Tnc/Col4a3/Itgb1/Pkn2/Mdm2/Pkn1/Akt3/Col4a1/Lama2/Lama3/Hras/Il7r/Fgf2/Lama4/Lamc2/Ppp2r5e/Vegfb/Efna3/Pkn3/Col4a5/Erbb2/Mtor/Gngt2/Map2k2/Gng11/Ywhae/Tsc2/Thbs2/Epha2/Pik3r2/Itga2/Creb5/Nrtn/Phlpp1/Il4ra/Eif4e/Stk11/Rac1/Ereg/Irs1/Ntrk2/Jak3/Comp/Rps6/Tgfa/Lamb3/Itgb5/Ppp2r3d/Itgb6/Gdnf/Rptor/Creb1/Vegfc/Lamb2/Lpar3/Vtn/Ppp2ca/Rbl2/Gys1/Cdk4/Pdgfa/Col1a2/Casp9/Pik3r6/Ywhag/Itga8/Lama1/Col9a2/Epor/Kitl/Tsc1/Rps6kb2/Gnb5/Ccne2/Gnb1/Rheb/Ifnar1/Fgf16/Sgk1/Col4a6/Kdr/Creb3l1/Pik3cg/Ghr/Itga7/Fn1/Il2rb/Prkaa1/Chrm2/Cd19/Eif4b/Flt4/Itgb7/Thbs3/Pdgfc/Sos1/Vegfa/Ppp2r2c/Erbb3/Cdk6/Itgb4/Reln/Lpar6/Itga5/Itgb3/Fgfr1/Atf2/Ppp2r5b/Nos3/Col4a4/Itga10/Col4a2/Mlst8/Ywhaz",131
"Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity","48/2756","71/4955",0.676056338028169,1.21547864837793,2.04715432145102,0.0258468146003251,0.187526888908742,0.164400791634767,"Itgb2/Tnfrsf10b/Mapk3/Icam1/H2-K1/Klra8/Klra4/Lcp2/Hras/Itgal/Map2k2/Pik3r2/Araf/Braf/Ulbp1/Rac2/Casp3/Rac1/Klrk1/Klra9/Klrb1c/Ifngr2/Klra7/Vav3/Tyrobp/H2-D1/Vav2/Ifng/Plcg1/Tnfsf10/Klrc1/Shc1/Ifnar1/Plcg2/Ppp3ca/Lat2/Pak1/Rac3/H2-T23/Sos1/Nfatc1/Sh3bp2/Ptpn6/Gzmb/Cd48/Ppp3r1/Klrc2/Klra3",48
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","38/2756","55/4955",0.690909090909091,1.24218234595593,2.02176549174297,0.0282974527804112,0.192447108071356,0.16871424198878,"Tlr4/Il1b/Hc/C1rb/Itgb2/Mapk3/Fos/Cd14/Calml3/Itgb1/Gnai3/Traf6/Itgam/Rhoa/Jun/C3/C1qa/Casp7/C4b/Myd88/Casp3/C1s1/Cfl1/C2/Pycard/Mapk13/C1s2/Gnai1/Calml4/Calm1/Sftpa1/Mapk9/Calm3/Serping1/Calm2/Itga5/Irak1/Il12a",38
"Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction","46/2756","68/4955",0.676470588235294,1.2162234269615,2.00974532073975,0.0283877245927506,0.192447108071356,0.16871424198878,"Mapk3/Ctnnb1/Myl9/Actn4/Smad4/Ptprb/Rhoa/Tgfbr2/Actg1/Ptprf/Smurf2/Myl7/Rap1b/Rock2/Csnk2b/Tjp1/Erbb2/Nectin1/Wasf2/Iqgap1/Rac2/Rac1/Sorbs1/Was/Pdcd10/Ptpn1/Rock1/Heg1/Ptprj/Myl12b/Tgfbr1/Rasip1/Cdh5/Lef1/Tcf7/Krit1/Wasl/Tcf7l2/Radil/Crebbp/Rac3/Ptpn6/Farp2/Cdc42/Fgfr1/Actb",46
"Organismal Systems","Nervous system","mmu04720","Long-term potentiation","33/2756","47/4955",0.702127659574468,1.26235216008399,2.02295531299218,0.0287981085024516,0.192447108071356,0.16871424198878,"Mapk3/Rps6ka3/Rps6ka2/Calml3/Plcb1/Hras/Gria1/Rap1b/Prkaca/Map2k2/Araf/Braf/Ppp1r1a/Camk2a/Cacna1c/Ppp1ca/Camk2b/Calml4/Grin1/Calm1/Rps6ka1/Adcy1/Calm3/Plcb3/Ppp3ca/Itpr2/Calm2/Crebbp/Rapgef3/Ppp1cb/Gnaq/Ppp3r1/Plcb2",33
