"","EG_DB_up","EG_DB_down","pval_EG_DB_up","pval_EG_DB_down"
"Comamonas",0.027972027972028,0.027972027972028,0.931234351201881,0.931234351201881
"Sphingomonas",0.643356643356643,-0.440559440559441,0.0240031912007137,0.15173503571673
"Neisseria",0.377622377622378,-0.335664335664336,0.226206044935027,0.286122902914987
"Chloroplast",-0.118881118881119,0.412587412587413,0.712884219214772,0.182563978573167
"Oscillibacter",-0.433566433566434,0.503496503496504,0.159105769412196,0.0951573665941248
"Eubacterium_xylanophilum_group",-0.412587412587413,0.468531468531469,0.182563978573167,0.124454791188834
"Arthrobacter",0.195804195804196,-0.251748251748252,0.541935885731317,0.429918785032884
"Roseburia",0.0699300699300699,-0.0699300699300699,0.829023640531309,0.829023640531309
"Clostridia_vadinBB60_group",-0.321678321678322,0.41958041958042,0.307909876180653,0.174519008130059
"Gaiella",0.405594405594406,-0.503496503496504,0.1908358740045,0.0951573665941248
"Anaplasma",-0.020979020979021,0.195804195804196,0.948402225236522,0.541935885731317
"Solirubrobacter",0.615384615384615,-0.748251748251748,0.0331699010901059,0.005124081698753
"Anaerostipes",-0.167832167832168,0.356643356643357,0.602099427786538,0.255137751758957
"Dorea",-0.153846153846154,0.125874125874126,0.633090681246262,0.696683109395766
"Parabacteroides",-0.531468531468531,0.608391608391608,0.0753623350534838,0.0358059970520292
"Ruminococcus",-0.181818181818182,0.398601398601399,0.571701238527655,0.199335494617809
"Barnesiella",-0.27972027972028,0.237762237762238,0.378568669662303,0.456800852639923
"Eubacterium_coprostanoligenes_group",-0.517482517482518,0.426573426573427,0.0848687711339349,0.166699987624945
"Blastococcus",0.608391608391608,-0.58041958041958,0.0358059970520292,0.0478559768420606
"Bryobacter",0.468531468531469,-0.510489510489511,0.124454791188834,0.0899137363026392
"Delftia",-0.454545454545455,0.426573426573427,0.13765791634773,0.166699987624945
"Vicinamibacteraceae",0.447552447552448,-0.510489510489511,0.144586301303347,0.0899137363026392
"Eubacterium_hallii_group",0.111888111888112,-0.0769230769230769,0.729194990751066,0.812182698028059
"Erysipelatoclostridium",-0.118881118881119,0.300699300699301,0.712884219214772,0.342259528940025
"Massilia",0.594405594405594,-0.559440559440559,0.0415214944103186,0.0585894753885676
"Agathobacter",0.223776223776224,-0.0909090909090909,0.484451661455399,0.778725396245442
"Mitochondria",-0.769230769230769,0.811188811188811,0.00344645026182744,0.00136331525272704
"Lachnospira",0.216783216783217,-0.104895104895105,0.498555985524189,0.745609480980708
"Proteus",-0.27972027972028,0.244755244755245,0.378568669662303,0.443261936450183
"MB-A2-108",0.356643356643357,-0.398601398601399,0.255137751758957,0.199335494617809
"Nitrospira",0.48951048951049,-0.517482517482518,0.106252371759346,0.0848687711339349
"Dubosiella",-0.328671328671329,0.265734265734266,0.296904115688764,0.403833088314712
"KD4-96",0.65034965034965,-0.685314685314685,0.0220341909323654,0.0139059688143628
"Pseudonocardia",0.356643356643357,-0.440559440559441,0.255137751758957,0.15173503571673
"Haliangium",0.475524475524476,-0.531468531468531,0.118175957013032,0.0753623350534838
"MND1",0.454545454545455,-0.545454545454545,0.13765791634773,0.0666118822668891
"Rickettsia",0.216783216783217,-0.132867132867133,0.498555985524189,0.680597508286082
"Subgroup_7",0.27972027972028,-0.321678321678322,0.378568669662303,0.307909876180653
"Others",-0.307692307692308,0.328671328671329,0.33058925941211,0.296904115688764
