"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","10/188","132/4955",0.0757575757575758,1.99669568020632,2.30475762478253,0.0275095446051881,0.254004795187904,0.226833087095411,"mt-Co2/mt-Atp6/mt-Nd4/mt-Atp8/Pik3r2/Jun/mt-Nd1/mt-Cytb/mt-Co3/Abl2",10
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","14/188","211/4955",0.0663507109004739,1.74876474740345,2.20723526604134,0.0285104246651602,0.25475443974998,0.227502539772926,"H2-K1/H2-Q2/Thbs1/Ppp2r3a/Creb3/Ptgs2/Isg15/Atp6v0c/Rb1/Lamc2/Pik3r2/Tnc/H2-T23/Tnfrsf1a",14
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","10/188","134/4955",0.0746268656716418,1.96689425214354,2.25318661025826,0.0301306022008352,0.26081802530098,0.232917484118299,"Cd36/mt-Co2/mt-Atp6/mt-Nd4/mt-Atp8/Pik3r2/mt-Nd1/mt-Cytb/mt-Co3/Ppara",10
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","3/188","19/4955",0.157894736842105,4.16153415453527,2.74170959978044,0.0332839207510952,0.268733254616126,0.239985995952079,"Nfil3/Nr1d2/Prkaa2",3
"Human Diseases","Immune disease","mmu05320","Autoimmune thyroid disease","4/188","33/4955",0.121212121212121,3.19471308833011,2.51187641767841,0.0347776406050957,0.268733254616126,0.239985995952079,"H2-K1/H2-Q2/Gzmb/H2-T23",4
"Human Diseases","Immune disease","mmu05330","Allograft rejection","4/188","33/4955",0.121212121212121,3.19471308833011,2.51187641767841,0.0347776406050957,0.268733254616126,0.239985995952079,"H2-K1/H2-Q2/Gzmb/H2-T23",4
"Human Diseases","Infectious disease: viral","mmu05162","Measles","7/188","82/4955",0.0853658536585366,2.24993513233005,2.26636860456043,0.0350308876585234,0.268733254616126,0.239985995952079,"Hspa8/Hspa1b/Il1b/Irf7/Pik3r2/Jun/Oas1g",7
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection","10/188","138/4955",0.072463768115942,1.90988282454517,2.15263817078948,0.0358957776924067,0.268733254616126,0.239985995952079,"H2-K1/H2-Q2/Calm1/Gna11/Pik3r2/Jun/Samhd1/H2-T23/B2m/Tnfrsf1a",10
"Metabolism","Lipid metabolism","mmu00600","Sphingolipid metabolism","4/188","34/4955",0.117647058823529,3.10075093867334,2.44074097471501,0.0382851416562184,0.279078532599276,0.249224606349344,"Psap/Plpp1/B4galt5/Galc",4
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","10/188","141/4955",0.0709219858156028,1.86924701976762,2.07938101034661,0.0406963106347475,0.289048155021155,0.25812774626628,"mt-Co2/mt-Atp6/mt-Nd4/Creb3/Bmp8b/Prkaa2/mt-Atp8/mt-Nd1/mt-Cytb/mt-Co3",10
