"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map00791","map00791","Atrazine degradation",16,3,0,0,0,-0.424717537509705,0.278648350449973,1.16623987249254,-0.603105677099186,0.2752,0.368038554216867
"map01524","map01524","Platinum drug resistance",46,3,0,0,0,-0.444272099351007,0.261751042650484,1.17633776918855,-0.600187429575191,0.272,0.366704453441296
"map05034","map05034","Alcoholism",86,9,0,0,0,-0.213192174560202,0.460817775064848,1.15779180751523,-0.58215125141675,0.279,0.371628
"map05200","map05200","Pathways in cancer",417,15,0,0,0,-0.0471922874677541,0.602687952625418,1.14753230859989,-0.566328490468467,0.286,0.379434262948207
"map00350","map00350","Tyrosine metabolism",84,21,0,0,0,1.40726021598442,0.753898146460736,1.15585141206629,0.565264758690467,0.2886,0.381364285714286
"map00680","map00680","Methane metabolism",195,52,4,3,1,1.77711299132991,1.14845165835386,1.14655679329571,0.548303700830211,0.293,0.385648221343873
"map05143","map05143","African trypanosomiasis",41,6,1,1,0,-0.254352779556808,0.358111064203515,1.16140295552539,-0.527348273780877,0.3028,0.392603112840467
"map04024","map04024","cAMP signaling pathway",172,5,0,0,0,-0.241324619530502,0.371841962801052,1.16925049538966,-0.524409940170443,0.2978,0.390422834645669
"map04976","map04976","Bile secretion",62,4,0,0,0,0.929967688405265,0.323781254801908,1.16963615522761,0.518269233465508,0.3088,0.395501538461538
"map05111","map05111","Biofilm formation - Vibrio cholerae",106,37,1,1,0,0.362376253343637,0.959553644502533,1.15942221509447,-0.515064644599927,0.303,0.392603112840467
"map00571","map00571","Lipoarabinomannan (LAM) biosynthesis",14,5,0,0,0,0.940347485719308,0.343259527445487,1.16360329076009,0.513137048524321,0.3048,0.393404651162791
"map00195","map00195","Photosynthesis",63,20,2,2,0,1.29869324217325,0.700881624394811,1.17992013889716,0.506654304872865,0.3028,0.392603112840467
"map04723","map04723","Retrograde endocannabinoid signaling",119,18,0,0,0,0.102225446542956,0.676297693642736,1.14911407609616,-0.499578117648732,0.3078,0.395501538461538
"map00330","map00330","Arginine and proline metabolism",114,37,6,3,3,0.385554558461312,0.955276689619131,1.16322108522038,-0.489779749006082,0.3106,0.39628275862069
"map00790","map00790","Folate biosynthesis",84,37,3,2,1,1.50497455843398,0.939048307274994,1.16416685871064,0.4861212522282,0.3146,0.399854198473282
"map00760","map00760","Nicotinate and nicotinamide metabolism",97,28,5,2,3,1.40122993002129,0.842373927620786,1.15917048360218,0.482117178021851,0.3174,0.401879087452472
"map00590","map00590","Arachidonic acid metabolism",51,6,0,0,0,-0.172318322707378,0.372214275263868,1.17546879043187,-0.463247176278651,0.322,0.406159090909091
"map04216","map04216","Ferroptosis",33,5,0,0,0,0.853138145090368,0.328121008157645,1.15673434932068,0.453878746871357,0.3282,0.410866917293233
"map04970","map04970","Salivary secretion",64,4,0,0,0,0.824260658057421,0.317588027524862,1.14983361123095,0.44064865175592,0.3414,0.417408791208791
"map04540","map04540","Gap junction",60,3,0,0,0,-0.276833664313182,0.236425169799342,1.16660332561544,-0.439960029979989,0.3262,0.409904150943396
"map00592","map00592","alpha-Linolenic acid metabolism",26,4,0,0,0,0.848465985417446,0.345307314155771,1.1477251430147,0.438396487455212,0.3398,0.417408791208791
"map04626","map04626","Plant-pathogen interaction",87,9,0,0,0,0.990355463395141,0.49494322812353,1.14721083560242,0.431840617170829,0.3296,0.411074157303371
"map04918","map04918","Thyroid hormone synthesis",53,5,2,1,1,0.838154112097975,0.349617318372888,1.16488792226409,0.419385233882038,0.3454,0.419774452554744
"map01503","map01503","Cationic antimicrobial peptide (CAMP) resistance",54,24,1,1,0,0.289887946949675,0.774646729186339,1.15659068143257,-0.419127345584556,0.3388,0.417408791208791
"map04724","map04724","Glutamatergic synapse",90,4,1,1,0,-0.168517991910395,0.296252684593749,1.15600302272652,-0.402049706935841,0.3422,0.417408791208791
"map04940","map04940","Type I diabetes mellitus",25,6,1,1,0,-0.0520900489047793,0.411711341819668,1.15546986278909,-0.401396354557373,0.3388,0.417408791208791
"map03008","map03008","Ribosome biogenesis in eukaryotes",83,5,1,0,1,-0.130727807618293,0.33774322495818,1.16824378330783,-0.401004515727034,0.3398,0.417408791208791
"map00053","map00053","Ascorbate and aldarate metabolism",62,14,3,1,2,1.0336111934186,0.577976233696272,1.15708199718404,0.393779318000967,0.35,0.423818181818182
"map00950","map00950","Isoquinoline alkaloid biosynthesis",63,5,0,0,0,0.806922990494148,0.364557489794904,1.14939624831065,0.384867708894492,0.3624,0.436386281588448
"map00562","map00562","Inositol phosphate metabolism",77,10,0,0,0,0.945974512662386,0.522206277314736,1.14777072315392,0.369209831544745,0.363,0.436386281588448
"map00052","map00052","Galactose metabolism",78,36,7,3,4,1.35937541326271,0.956089376434311,1.14627454461215,0.351823251003846,0.3718,0.442110638297872
"map00780","map00780","Biotin metabolism",24,15,1,0,1,1.00613198803135,0.604521340196036,1.15923127836472,0.346445662164889,0.3668,0.439368345323741
"map00261","map00261","Monobactam biosynthesis",28,10,1,1,0,0.847545760869437,0.455381779545665,1.165095973533,0.33659371436551,0.3724,0.442110638297872
"map04112","map04112","Cell cycle - Caulobacter",31,15,2,1,1,0.234300198852845,0.604716569951357,1.15291093082213,-0.321287934042201,0.3744,0.442110638297872
"map04922","map04922","Glucagon signaling pathway",57,10,4,2,2,0.147971351843173,0.507563897067642,1.15434666071162,-0.311511747262119,0.3742,0.442110638297872
"map04020","map04020","Calcium signaling pathway",198,4,0,0,0,-0.0350931203171796,0.317944596958363,1.16424423558291,-0.303233382211067,0.3768,0.443372438162544
"map05235","map05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",73,4,0,0,0,-0.0350931203171796,0.304855713721124,1.14268766859676,-0.297499345954933,0.3828,0.445707692307692
"map00361","map00361","Chlorocyclohexane and chlorobenzene degradation",41,3,0,0,0,0.597440665667241,0.253763479541118,1.1585577928621,0.296642246285447,0.3818,0.445707692307692
"map01220","map01220","Degradation of aromatic compounds",215,22,2,1,1,1.09221079718954,0.756625066975939,1.14188869304406,0.293886551515797,0.385,0.446707317073171
"map04610","map04610","Complement and coagulation cascades",82,9,0,0,0,0.161060938687463,0.502372859638293,1.16235683410387,-0.293637814943435,0.3806,0.445707692307692
"map00600","map00600","Sphingolipid metabolism",52,8,1,1,0,0.756755642627071,0.426543942443326,1.16003904729824,0.28465567685227,0.3888,0.44799446366782
"map04910","map04910","Insulin signaling pathway",88,9,2,1,1,0.827929083168632,0.49863018846665,1.16305772615928,0.283132029731158,0.3956,0.452696907216495
"map00140","map00140","Steroid hormone biosynthesis",46,7,0,0,0,0.0699511198540899,0.387404608486345,1.16616768637861,-0.27221941779065,0.3872,0.4477
"map00999","map00999","Biosynthesis of various plant secondary metabolites",74,4,0,0,0,0.62426330062636,0.321264557357607,1.16150421657411,0.260867536204438,0.394,0.452420689655172
"map00030","map00030","Pentose phosphate pathway",89,39,9,4,5,1.29958198825283,0.999075451482217,1.15866781623902,0.25935521169997,0.3982,0.454111643835616
"map01040","map01040","Biosynthesis of unsaturated fatty acids",32,7,0,0,0,0.696377855161172,0.401838792540606,1.16458161064914,0.252914059373126,0.4026,0.45600612244898
"map01230","map01230","Biosynthesis of amino acids",239,160,27,13,14,1.74187223000987,2.01819374540673,1.15394748538583,-0.239457617349433,0.4056,0.457846779661017
"map04138","map04138","Autophagy - yeast",82,3,0,0,0,-0.00169179405655154,0.269870494471074,1.15709131468323,-0.23469391316101,0.4024,0.45600612244898
"map00626","map00626","Naphthalene degradation",29,5,0,0,0,0.642221174848946,0.368915262828358,1.17054020496992,0.233486992467389,0.4134,0.461953691275168
"map00364","map00364","Fluorobenzoate degradation",18,3,0,0,0,0.52678658400752,0.266371952762106,1.16623434716898,0.223295285272268,0.4158,0.463081605351171
"map02025","map02025","Biofilm formation - Pseudomonas aeruginosa",90,29,3,1,2,0.612376863153364,0.870044463115505,1.17436968999599,-0.219409273039924,0.409,0.460125
"map04912","map04912","GnRH signaling pathway",64,3,0,0,0,0.52678658400752,0.279992908202744,1.15602523682991,0.213484678311645,0.4278,0.463621935483871
"map01521","map01521","EGFR tyrosine kinase inhibitor resistance",67,3,0,0,0,0.52678658400752,0.279063388732737,1.16224544670611,0.213141893544819,0.4234,0.463621935483871
"map00540","map00540","Lipopolysaccharide biosynthesis",62,31,0,0,0,0.683893694762669,0.924755051558217,1.16349025543807,-0.207016221811725,0.4106,0.460369696969697
"map04261","map04261","Adrenergic signaling in cardiomyocytes",99,3,0,0,0,0.52678658400752,0.28757410455496,1.16053107157507,0.206123287270458,0.4286,0.463621935483871
"map00730","map00730","Thiamine metabolism",36,18,4,2,2,0.906822113961746,0.679751209683522,1.13162720103487,0.200658754111396,0.424,0.463621935483871
"map00564","map00564","Glycerophospholipid metabolism",117,33,3,1,2,1.10067057126211,0.880140197352045,1.13451748595046,0.194382525294716,0.4296,0.463621935483871
"map04978","map04978","Mineral absorption",36,7,0,0,0,0.194519084410112,0.417749367634543,1.16933573941259,-0.190903498200242,0.421,0.463621935483871
"map00360","map00360","Phenylalanine metabolism",74,26,0,0,0,1.01565860431068,0.803180582137589,1.14615306390326,0.18538363580296,0.4316,0.463621935483871
"map00460","map00460","Cyanoamino acid metabolism",36,7,2,1,1,0.639352305465143,0.428834882806647,1.17948431203607,0.178482596597739,0.4394,0.465987898089172
"map04013","map04013","MAPK signaling pathway - fly",84,4,1,1,0,0.524783159298821,0.32216606262696,1.14582880605153,0.176830164856886,0.4314,0.463621935483871
"map00561","map00561","Glycerolipid metabolism",94,23,5,2,3,0.553394564129124,0.762128966132288,1.18178147460954,-0.176626903101633,0.4258,0.463621935483871
"map00362","map00362","Benzoate degradation",115,25,2,1,1,0.986772202335883,0.796631030433851,1.13918162267213,0.166910322390933,0.43,0.463621935483871
"map02030","map02030","Bacterial chemotaxis",26,22,1,0,1,0.917050691526341,0.731167427540926,1.15343007177447,0.1611569427,0.4336,0.464272668810289
"map00500","map00500","Starch and sucrose metabolism",106,61,5,2,3,1.39871856221662,1.21779326164886,1.14229672342535,0.158387305905265,0.437,0.465987898089172
"map04726","map04726","Serotonergic synapse",85,4,0,0,0,0.159701709995595,0.338202051340595,1.14691298977704,-0.155635469243138,0.4314,0.463621935483871
"map00470","map00470","D-Amino acid metabolism",55,23,2,1,1,0.572504146444795,0.748456684790769,1.14780877306557,-0.153294296467207,0.4392,0.465987898089172
"map00940","map00940","Phenylpropanoid biosynthesis",33,4,0,0,0,0.475527639953359,0.322996849382324,1.15294259370876,0.132296951646463,0.4504,0.476137142857143
"map05204","map05204","Chemical carcinogenesis - DNA adducts",29,3,0,0,0,0.445127474651144,0.293570919674875,1.15356622965267,0.131380887443196,0.4564,0.477928301886792
"map05211","map05211","Renal cell carcinoma",56,5,0,0,0,0.486194477835975,0.336722970374474,1.16468943265725,0.128335935117467,0.4554,0.477928301886792
"map04212","map04212","Longevity regulating pathway - worm",57,11,1,1,0,0.666759071714178,0.533608191341859,1.15027114187107,0.115756081784101,0.462,0.478122222222222
"map04075","map04075","Plant hormone signal transduction",61,4,1,1,0,0.462567794308212,0.335207232142259,1.16127134860621,0.109673387119053,0.4622,0.478122222222222
"map05231","map05231","Choline metabolism in cancer",61,4,0,0,0,0.176118403554309,0.302621197763348,1.18123315881268,-0.107093839404402,0.4524,0.476737974683544
"map00770","map00770","Pantothenate and CoA biosynthesis",45,26,3,2,1,0.95198945951298,0.832774513781201,1.15594107382921,0.103132372774732,0.4596,0.478122222222222
"map00980","map00980","Metabolism of xenobiotics by cytochrome P450",34,8,0,0,0,0.543306999352041,0.430894769902526,1.16051331837405,0.0968642303967795,0.4648,0.478122222222222
"map04070","map04070","Phosphatidylinositol signaling system",55,4,0,0,0,0.225549419247194,0.313757198026994,1.15549473756882,-0.076337672437514,0.4626,0.478122222222222
"map04973","map04973","Carbohydrate digestion and absorption",22,3,0,0,0,0.355666858181274,0.271234535469738,1.15302854921405,0.0732265673465659,0.479,0.487788990825688
"map00920","map00920","Sulfur metabolism",115,43,5,2,3,0.956131651034742,1.03256910543736,1.15771994476807,-0.0660241319569986,0.4652,0.478122222222222
"map00440","map00440","Phosphonate and phosphinate metabolism",46,7,0,0,0,0.368700793673603,0.428369927500256,1.1448152099297,-0.0521211924065168,0.4762,0.486425153374233
"map04080","map04080","Neuroactive ligand-receptor interaction",331,5,0,0,0,0.416106556682551,0.356124730005996,1.15305409026396,0.0520199591528475,0.4854,0.491301519756839
"map00750","map00750","Vitamin B6 metabolism",24,9,1,0,1,0.550177368287179,0.498637215655326,1.15796698854086,0.0445091726637201,0.4918,0.494771601208459
"map05219","map05219","Bladder cancer",38,3,0,0,0,0.243748590195002,0.289747020178933,1.15162613774518,-0.039942155250135,0.4762,0.486425153374233
"map03050","map03050","Proteasome",49,3,1,1,0,0.24223881991265,0.264524233868515,1.18866532766117,-0.0187482661748989,0.4852,0.491301519756839
"map00290","map00290","Valine, leucine and isoleucine biosynthesis",19,13,2,1,1,0.577868908390053,0.561352251276703,1.15649364519632,0.0142816669870638,0.4956,0.4956
"map00511","map00511","Other glycan degradation",22,9,0,0,0,0.484062836225863,0.499524514401556,1.188762330954,-0.0130065344207916,0.4888,0.493243636363636
"map00510","map00510","N-Glycan biosynthesis",48,3,0,0,0,0.240891079990435,0.252015588115459,1.16146368992201,-0.00957800766528544,0.4954,0.4956
"map00062","map00062","Fatty acid elongation",24,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00073","map00073","Cutin, suberine and wax biosynthesis",15,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00100","map00100","Steroid biosynthesis",34,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00120","map00120","Primary bile acid biosynthesis",18,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00121","map00121","Secondary bile acid biosynthesis",15,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00196","map00196","Photosynthesis - antenna proteins",42,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00232","map00232","Caffeine metabolism",16,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00253","map00253","Tetracycline biosynthesis",17,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00254","map00254","Aflatoxin biosynthesis",20,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00311","map00311","Penicillin and cephalosporin biosynthesis",16,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00331","map00331","Clavulanic acid biosynthesis",5,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00332","map00332","Carbapenem biosynthesis",19,2,2,0,2,NA,NA,NA,NA,NA,NA
"map00363","map00363","Bisphenol degradation",2,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00365","map00365","Furfural degradation",8,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00402","map00402","Benzoxazinoid biosynthesis",8,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00403","map00403","Indole diterpene alkaloid biosynthesis",13,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00404","map00404","Staurosporine biosynthesis",40,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00405","map00405","Phenazine biosynthesis",16,2,1,0,1,NA,NA,NA,NA,NA,NA
"map00512","map00512","Mucin type O-glycan biosynthesis",15,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00513","map00513","Various types of N-glycan biosynthesis",55,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00514","map00514","Other types of O-glycan biosynthesis",31,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00515","map00515","Mannose type O-glycan biosynthesis",21,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00522","map00522","Biosynthesis of 12-, 14- and 16-membered macrolides",59,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00524","map00524","Neomycin, kanamycin and gentamicin biosynthesis",58,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00525","map00525","Acarbose and validamycin biosynthesis",27,2,1,1,0,NA,NA,NA,NA,NA,NA
"map00532","map00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",18,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00533","map00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00534","map00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",22,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00542","map00542","O-Antigen repeat unit biosynthesis",35,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00563","map00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",35,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00565","map00565","Ether lipid metabolism",31,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00591","map00591","Linoleic acid metabolism",27,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00601","map00601","Glycosphingolipid biosynthesis - lacto and neolacto series",28,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00603","map00603","Glycosphingolipid biosynthesis - globo and isoglobo series",16,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00604","map00604","Glycosphingolipid biosynthesis - ganglio series",14,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00623","map00623","Toluene degradation",46,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00624","map00624","Polycyclic aromatic hydrocarbon degradation",43,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00642","map00642","Ethylbenzene degradation",16,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00901","map00901","Indole alkaloid biosynthesis",58,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00902","map00902","Monoterpenoid biosynthesis",42,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00903","map00903","Limonene degradation",9,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00904","map00904","Diterpenoid biosynthesis",71,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00905","map00905","Brassinosteroid biosynthesis",12,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00906","map00906","Carotenoid biosynthesis",56,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00908","map00908","Zeatin biosynthesis",10,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00909","map00909","Sesquiterpenoid and triterpenoid biosynthesis",75,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00941","map00941","Flavonoid biosynthesis",27,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00942","map00942","Anthocyanin biosynthesis",16,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00943","map00943","Isoflavonoid biosynthesis",18,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00944","map00944","Flavone and flavonol biosynthesis",15,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00945","map00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis",12,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00946","map00946","Degradation of flavonoids",21,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00965","map00965","Betalain biosynthesis",8,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00966","map00966","Glucosinolate biosynthesis",21,2,0,0,0,NA,NA,NA,NA,NA,NA
"map00981","map00981","Insect hormone biosynthesis",18,1,0,0,0,NA,NA,NA,NA,NA,NA
"map00984","map00984","Steroid degradation",15,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00996","map00996","Biosynthesis of various alkaloids",15,0,0,0,0,NA,NA,NA,NA,NA,NA
"map00997","map00997","Biosynthesis of various other secondary metabolites",42,1,0,0,0,NA,NA,NA,NA,NA,NA
"map01051","map01051","Biosynthesis of ansamycins",32,1,1,0,1,NA,NA,NA,NA,NA,NA
"map01052","map01052","Type I polyketide structures",127,0,0,0,0,NA,NA,NA,NA,NA,NA
"map01054","map01054","Nonribosomal peptide structures",66,1,0,0,0,NA,NA,NA,NA,NA,NA
"map01055","map01055","Biosynthesis of vancomycin group antibiotics",29,1,0,0,0,NA,NA,NA,NA,NA,NA
"map01056","map01056","Biosynthesis of type II polyketide backbone",9,0,0,0,0,NA,NA,NA,NA,NA,NA
"map01057","map01057","Biosynthesis of type II polyketide products",73,0,0,0,0,NA,NA,NA,NA,NA,NA
"map01059","map01059","Biosynthesis of enediyne antibiotics",73,0,0,0,0,NA,NA,NA,NA,NA,NA
"map01100","map01100","Metabolic pathways",4816,1347,147,81,66,NA,NA,NA,NA,NA,NA
"map01522","map01522","Endocrine resistance",77,2,0,0,0,NA,NA,NA,NA,NA,NA
"map03015","map03015","mRNA surveillance pathway",63,2,0,0,0,NA,NA,NA,NA,NA,NA
"map03022","map03022","Basal transcription factors",36,1,0,0,0,NA,NA,NA,NA,NA,NA
"map03082","map03082","ATP-dependent chromatin remodeling",84,2,1,0,1,NA,NA,NA,NA,NA,NA
"map03230","map03230","Viral genome structure",119,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03240","map03240","Viral replication",130,1,1,1,0,NA,NA,NA,NA,NA,NA
"map03250","map03250","Viral life cycle - HIV-1",61,1,0,0,0,NA,NA,NA,NA,NA,NA
"map03258","map03258","Virion - Bacteriophage lambda",21,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03259","map03259","Virion - Bacteriophages T4 and T7",68,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03260","map03260","Virion - Human immunodeficiency virus",20,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03261","map03261","Virion - Influenza virus",12,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03262","map03262","Virion - Coronavirus",28,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03263","map03263","Virion - Enterovirus",13,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03264","map03264","Virion - Flavivirus",14,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03265","map03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",37,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03266","map03266","Virion - Herpesvirus",32,2,1,1,0,NA,NA,NA,NA,NA,NA
"map03267","map03267","Virion - Adenovirus",19,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03268","map03268","Virion - Orthopoxvirus",46,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03271","map03271","Virion - Rotavirus",13,0,0,0,0,NA,NA,NA,NA,NA,NA
"map03450","map03450","Non-homologous end-joining",19,1,0,0,0,NA,NA,NA,NA,NA,NA
"map03460","map03460","Fanconi anemia pathway",54,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04012","map04012","ErbB signaling pathway",69,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04111","map04111","Cell cycle - yeast",126,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04113","map04113","Meiosis - yeast",103,2,1,1,0,NA,NA,NA,NA,NA,NA
"map04115","map04115","p53 signaling pathway",69,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04130","map04130","SNARE interactions in vesicular transport",35,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04136","map04136","Autophagy - other",23,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04214","map04214","Apoptosis - fly",56,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04215","map04215","Apoptosis - multiple species",40,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04320","map04320","Dorso-ventral axis formation",28,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04330","map04330","Notch signaling pathway",36,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04340","map04340","Hedgehog signaling pathway",45,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04341","map04341","Hedgehog signaling pathway - fly",26,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04391","map04391","Hippo signaling pathway - fly",53,2,1,0,1,NA,NA,NA,NA,NA,NA
"map04392","map04392","Hippo signaling pathway - multiple species",25,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04514","map04514","Cell adhesion molecules",109,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04614","map04614","Renin-angiotensin system",22,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04672","map04672","Intestinal immune network for IgA production",37,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04710","map04710","Circadian rhythm",28,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04711","map04711","Circadian rhythm - fly",13,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04712","map04712","Circadian rhythm - plant",28,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04720","map04720","Long-term potentiation",43,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04730","map04730","Long-term depression",45,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04740","map04740","Olfactory transduction",25,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04742","map04742","Taste transduction",41,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04744","map04744","Phototransduction",18,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04745","map04745","Phototransduction - fly",18,2,1,0,1,NA,NA,NA,NA,NA,NA
"map04820","map04820","Cytoskeleton in muscle cells",155,2,1,0,1,NA,NA,NA,NA,NA,NA
"map04911","map04911","Insulin secretion",68,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04913","map04913","Ovarian steroidogenesis",40,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04916","map04916","Melanogenesis",67,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04920","map04920","Adipocytokine signaling pathway",54,2,1,1,0,NA,NA,NA,NA,NA,NA
"map04923","map04923","Regulation of lipolysis in adipocytes",47,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04924","map04924","Renin secretion",50,2,1,0,1,NA,NA,NA,NA,NA,NA
"map04925","map04925","Aldosterone synthesis and secretion",65,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04927","map04927","Cortisol synthesis and secretion",54,0,0,0,0,NA,NA,NA,NA,NA,NA
"map04928","map04928","Parathyroid hormone synthesis, secretion and action",89,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04929","map04929","GnRH secretion",51,2,1,0,1,NA,NA,NA,NA,NA,NA
"map04930","map04930","Type II diabetes mellitus",37,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04934","map04934","Cushing syndrome",122,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04935","map04935","Growth hormone synthesis, secretion and action",92,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04950","map04950","Maturity onset diabetes of the young",26,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04960","map04960","Aldosterone-regulated sodium reabsorption",26,2,0,0,0,NA,NA,NA,NA,NA,NA
"map04961","map04961","Endocrine and other factor-regulated calcium reabsorption",33,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04962","map04962","Vasopressin-regulated water reabsorption",33,1,0,0,0,NA,NA,NA,NA,NA,NA
"map04971","map04971","Gastric acid secretion",50,2,1,0,1,NA,NA,NA,NA,NA,NA
"map04977","map04977","Vitamin digestion and absorption",25,2,0,0,0,NA,NA,NA,NA,NA,NA
"map05030","map05030","Cocaine addiction",39,1,0,0,0,NA,NA,NA,NA,NA,NA
"map05031","map05031","Amphetamine addiction",46,2,0,0,0,NA,NA,NA,NA,NA,NA
"map05032","map05032","Morphine addiction",64,2,0,0,0,NA,NA,NA,NA,NA,NA
"map05033","map05033","Nicotine addiction",27,0,0,0,0,NA,NA,NA,NA,NA,NA
"map05212","map05212","Pancreatic cancer",63,1,0,0,0,NA,NA,NA,NA,NA,NA
"map05213","map05213","Endometrial cancer",45,2,0,0,0,NA,NA,NA,NA,NA,NA
"map05214","map05214","Glioma",54,2,0,0,0,NA,NA,NA,NA,NA,NA
"map05215","map05215","Prostate cancer",81,2,0,0,0,NA,NA,NA,NA,NA,NA
"map05216","map05216","Thyroid cancer",34,1,0,0,0,NA,NA,NA,NA,NA,NA
