"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map00051","map00051","Fructose and mannose metabolism",114,54,7,6,1,3.39775568791564,1.15427342713263,1.14729407607136,1.95545528175765,0.0246,0.09102
"map04072","map04072","Phospholipase D signaling pathway",108,5,0,0,0,-1.87642832363294,0.319453184356118,1.14709123478646,-1.91430414721794,0.0288,0.100951578947368
"map04120","map04120","Ubiquitin mediated proteolysis",133,10,0,0,0,-1.70439016343293,0.51789549846846,1.16390312316082,-1.90933903147051,0.0322,0.109414285714286
"map05110","map05110","Vibrio cholerae infection",49,8,1,0,1,-1.75647994023787,0.439284498629319,1.16184533546313,-1.88989392292213,0.0298,0.10336875
"map03013","map03013","Nucleocytoplasmic transport",98,4,1,0,1,-1.80484027270857,0.337667942088815,1.14704274658516,-1.86785385390021,0.034,0.11322
"map05160","map05160","Hepatitis C",112,8,0,0,0,-1.71062843737963,0.46213181709121,1.16782562489283,-1.86051770757319,0.035,0.114264705882353
"map04217","map04217","Necroptosis",96,12,2,1,1,-1.57673554215747,0.560361418835087,1.16615602630837,-1.83259950879629,0.033,0.111
"map05208","map05208","Chemical carcinogenesis - reactive oxygen species",175,49,1,1,0,-1.00822720535986,1.10529851086642,1.15622222945514,-1.82795803642545,0.0348,0.114264705882353
"map04980","map04980","Cobalamin transport and metabolism",17,4,0,0,0,2.40956053526321,0.334751153251039,1.14100419975357,1.81840643746999,0.0312,0.107109278350515
"map04936","map04936","Alcoholic liver disease",105,14,0,0,0,-1.45196820783146,0.590676052100693,1.12544650060624,-1.81496344680253,0.0366,0.118328155339806
"map05144","map05144","Malaria",67,7,1,1,0,-1.65455171169597,0.452584426651887,1.16784313437721,-1.8042972350662,0.0396,0.124403773584906
"map03420","map03420","Nucleotide excision repair",61,13,1,0,1,-1.44125212365015,0.581620087415111,1.12978054144998,-1.79050013418453,0.0392,0.124403773584906
"map04814","map04814","Motor proteins",113,5,1,0,1,-1.62099622421836,0.365119744119935,1.12547013050888,-1.76469895957192,0.042,0.124875
"map04917","map04917","Prolactin signaling pathway",57,3,1,0,1,-1.72087106966891,0.291237016582085,1.14811052738814,-1.75253866091479,0.0418,0.124875
"map00541","map00541","O-Antigen nucleotide sugar biosynthesis",99,33,5,5,0,2.88122662808932,0.907688598076575,1.12952494208268,1.74722837582835,0.0394,0.124403773584906
"map00190","map00190","Oxidative phosphorylation",224,105,5,4,1,3.61525380453147,1.63181224119161,1.13792403212044,1.74303513007266,0.042,0.124875
"map00220","map00220","Arginine biosynthesis",67,31,6,6,0,2.88836702710806,0.878864864925612,1.15562475460021,1.73888812452588,0.0414,0.124875
