"module","species","r","p_value","significance"
"MEyellow","Parvimonas_micra",-0.025,0.85,""
"MEgreen","Prevotella_sp_oral_taxon_299",-0.035,0.8,""
"MEgreen","Streptococcus_sp_116_D4",-0.063,0.65,""
"MEgreen","Lancefieldella_parvula",-0.0081,0.95,""
"MEgreen","Prevotella_jejuni",0.006,0.96,""
"MEgreen","Schaalia_odontolytica",0.022,0.87,""
"MEgreen","Campylobacter_concisus",0.041,0.76,""
"MEgreen","Erwinia_sp_Ejp617",-0.059,0.67,""
"MEgreen","Collinsella_aerofaciens",-0.12,0.37,""
"MEgreen","Prevotella_denticola",-0.061,0.66,""
"MEgreen","Kingella_oralis",-0.074,0.59,""
"MEgreen","Schaalia_meyeri",-0.044,0.75,""
"MEgreen","Pantoea_sp_CCBC3_3_1",0.04,0.77,""
"MEgreen","Streptococcus_mitis",-0.084,0.54,""
"MEgreen","Schaalia_cardiffensis",0.13,0.34,""
"MEgreen","Nanosynbacter_sp_HMT_352",0.1,0.45,""
"MEgreen","Candidatus_Methylopumilus_turicensis",-0.12,0.38,""
"MEgreen","Streptococcus_sp_1643",0.056,0.68,""
"MEgreen","Porphyromonas_endodontalis",-0.058,0.67,""
"MEgreen","Streptococcus_oralis",0.079,0.56,""
"MEgreen","Prevotella_scopos",0.072,0.6,""
"MEgreen","Desulfobulbus_oralis",0.011,0.93,""
"MEgreen","Tannerella_forsythia",0.0078,0.95,""
"MEgreen","Blattabacterium_punctulatus",-0.14,0.32,""
"MEgreen","Streptococcus_pseudopneumoniae",-0.08,0.56,""
"MEgreen","Microbacterium_paludicola",-0.015,0.91,""
"MEgreen","Prevotella_histicola",0.0056,0.97,""
"MEgreen","Shewanella_loihica",-0.037,0.78,""
"MEgreen","Olsenella_uli",0.21,0.12,""
"MEgreen","Mogibacterium_diversum",0.037,0.79,""
"MEgreen","Porphyromonas_gingivalis",0.015,0.91,""
"MEgreen","Prevotella_multiformis",-0.1,0.44,""
"MEgreen","Lachnoanaerobaculum_umeaense",0.047,0.73,""
"MEgreen","Veillonella_atypica",0.00056,1,""
"MEgreen","Planktothrix_rubescens",0.037,0.79,""
"MEgreen","Rothia_mucilaginosa",0.09,0.51,""
"MEgreen","Prevotella_veroralis",-0.093,0.49,""
"MEgreen","Candidatus_Nanosynbacter_sp_HMT352",-0.0014,0.99,""
"MEgreen","Fusobacterium_periodonticum",0.0076,0.96,""
"MEgreen","Fusobacterium_pseudoperiodonticum",-0.049,0.72,""
"MEgreen","Streptococcus_sp_FDAARGOS_192",0.12,0.38,""
"MEgreen","Neisseria_mucosa",0.12,0.38,""
"MEgreen","Leptotrichia_sp_oral_taxon_221",0.089,0.51,""
"MEgreen","Filifactor_alocis",0.0036,0.98,""
"MEgreen","Prevotella_intermedia",0.041,0.76,""
"MEgreen","Streptococcus_pneumoniae",-0.066,0.63,""
"MEgreen","Parvimonas_micra",-0.052,0.7,""
"MEturquoise","Prevotella_sp_oral_taxon_299",-0.026,0.85,""
"MEturquoise","Streptococcus_sp_116_D4",-0.085,0.53,""
"MEturquoise","Lancefieldella_parvula",-0.086,0.53,""
"MEturquoise","Prevotella_jejuni",-0.048,0.72,""
"MEturquoise","Schaalia_odontolytica",-0.05,0.72,""
"MEturquoise","Campylobacter_concisus",0.024,0.86,""
"MEturquoise","Erwinia_sp_Ejp617",-0.033,0.81,""
"MEturquoise","Collinsella_aerofaciens",-0.082,0.55,""
"MEturquoise","Prevotella_denticola",-0.02,0.88,""
"MEturquoise","Kingella_oralis",0.054,0.69,""
"MEturquoise","Schaalia_meyeri",-0.093,0.49,""
"MEturquoise","Pantoea_sp_CCBC3_3_1",0.16,0.23,""
"MEturquoise","Streptococcus_mitis",-0.1,0.44,""
"MEturquoise","Schaalia_cardiffensis",-0.033,0.81,""
"MEturquoise","Nanosynbacter_sp_HMT_352",-0.047,0.73,""
"MEturquoise","Candidatus_Methylopumilus_turicensis",-0.1,0.45,""
"MEturquoise","Streptococcus_sp_1643",-0.11,0.43,""
"MEturquoise","Porphyromonas_endodontalis",-0.17,0.22,""
"MEturquoise","Streptococcus_oralis",-0.1,0.46,""
"MEturquoise","Prevotella_scopos",-0.044,0.75,""
"MEturquoise","Desulfobulbus_oralis",-0.083,0.54,""
"MEturquoise","Tannerella_forsythia",-0.1,0.45,""
"MEturquoise","Blattabacterium_punctulatus",-0.096,0.48,""
"MEturquoise","Streptococcus_pseudopneumoniae",-0.12,0.37,""
"MEturquoise","Microbacterium_paludicola",-0.056,0.68,""
"MEturquoise","Prevotella_histicola",-0.039,0.77,""
"MEturquoise","Shewanella_loihica",-0.083,0.54,""
"MEturquoise","Olsenella_uli",-0.075,0.58,""
"MEturquoise","Mogibacterium_diversum",-0.072,0.6,""
"MEturquoise","Porphyromonas_gingivalis",-0.12,0.36,""
"MEturquoise","Prevotella_multiformis",-0.086,0.53,""
"MEturquoise","Lachnoanaerobaculum_umeaense",0.091,0.5,""
