"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust","level1"
"map00996","map00996","Biosynthesis of various alkaloids",15,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00997","map00997","Biosynthesis of various other secondary metabolites",42,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map00999","map00999","Biosynthesis of various plant secondary metabolites",74,1,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01040","map01040","Biosynthesis of unsaturated fatty acids",32,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01051","map01051","Biosynthesis of ansamycins",32,1,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01052","map01052","Type I polyketide structures",127,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01053","map01053","Biosynthesis of siderophore group nonribosomal peptides",36,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01054","map01054","Nonribosomal peptide structures",66,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01055","map01055","Biosynthesis of vancomycin group antibiotics",29,1,1,0,1,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01056","map01056","Biosynthesis of type II polyketide backbone",9,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01057","map01057","Biosynthesis of type II polyketide products",73,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01059","map01059","Biosynthesis of enediyne antibiotics",73,0,0,0,0,NA,NA,NA,NA,NA,NA,"Metabolism"
"map01521","map01521","EGFR tyrosine kinase inhibitor resistance",67,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map01522","map01522","Endocrine resistance",77,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map01524","map01524","Platinum drug resistance",46,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map03008","map03008","Ribosome biogenesis in eukaryotes",83,2,2,0,2,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03013","map03013","Nucleocytoplasmic transport",98,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03015","map03015","mRNA surveillance pathway",63,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03022","map03022","Basal transcription factors",36,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03040","map03040","Spliceosome",123,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03050","map03050","Proteasome",49,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03082","map03082","ATP-dependent chromatin remodeling",84,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03083","map03083","Polycomb repressive complex",65,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03230","map03230","Viral genome structure",119,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03240","map03240","Viral replication",130,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03250","map03250","Viral life cycle - HIV-1",61,1,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03258","map03258","Virion - Bacteriophage lambda",21,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03259","map03259","Virion - Bacteriophages T4 and T7",68,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03260","map03260","Virion - Human immunodeficiency virus",20,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03261","map03261","Virion - Influenza virus",12,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03262","map03262","Virion - Coronavirus",28,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03263","map03263","Virion - Enterovirus",13,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03264","map03264","Virion - Flavivirus",14,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03265","map03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",37,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03266","map03266","Virion - Herpesvirus",32,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03267","map03267","Virion - Adenovirus",19,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03268","map03268","Virion - Orthopoxvirus",46,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03271","map03271","Virion - Rotavirus",13,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03272","map03272","Virion - Hepatitis viruses",40,1,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03450","map03450","Non-homologous end-joining",19,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map03460","map03460","Fanconi anemia pathway",54,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map04010","map04010","MAPK signaling pathway",243,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04011","map04011","MAPK signaling pathway - yeast",91,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04012","map04012","ErbB signaling pathway",69,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04013","map04013","MAPK signaling pathway - fly",84,1,1,1,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04014","map04014","Ras signaling pathway",182,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04015","map04015","Rap1 signaling pathway",162,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04016","map04016","MAPK signaling pathway - plant",54,2,1,0,1,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04020","map04020","Calcium signaling pathway",198,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04022","map04022","cGMP-PKG signaling pathway",121,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04024","map04024","cAMP signaling pathway",172,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04060","map04060","Cytokine-cytokine receptor interaction",274,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04061","map04061","Viral protein interaction with cytokine and cytokine receptor",120,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04062","map04062","Chemokine signaling pathway",162,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04064","map04064","NF-kappa B signaling pathway",98,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04068","map04068","FoxO signaling pathway",103,2,2,2,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04070","map04070","Phosphatidylinositol signaling system",55,1,1,0,1,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04071","map04071","Sphingolipid signaling pathway",83,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04072","map04072","Phospholipase D signaling pathway",108,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04075","map04075","Plant hormone signal transduction",61,1,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04080","map04080","Neuroactive ligand-receptor interaction",331,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04110","map04110","Cell cycle",133,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04111","map04111","Cell cycle - yeast",126,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04113","map04113","Meiosis - yeast",103,1,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04114","map04114","Oocyte meiosis",80,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04115","map04115","p53 signaling pathway",69,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04120","map04120","Ubiquitin mediated proteolysis",133,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map04130","map04130","SNARE interactions in vesicular transport",35,0,0,0,0,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map04136","map04136","Autophagy - other",23,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04137","map04137","Mitophagy - animal",85,1,1,0,1,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04138","map04138","Autophagy - yeast",82,1,1,0,1,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04139","map04139","Mitophagy - yeast",34,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04140","map04140","Autophagy - animal",132,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04141","map04141","Protein processing in endoplasmic reticulum",144,2,2,0,2,NA,NA,NA,NA,NA,NA,"Genetic Information Processing"
"map04144","map04144","Endocytosis",169,1,1,0,1,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04145","map04145","Phagosome",95,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04148","map04148","Efferocytosis",131,2,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04150","map04150","mTOR signaling pathway",117,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04152","map04152","AMPK signaling pathway",85,2,2,1,1,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04210","map04210","Apoptosis",110,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04211","map04211","Longevity regulating pathway",68,1,1,1,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04214","map04214","Apoptosis - fly",56,1,1,1,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04215","map04215","Apoptosis - multiple species",40,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04216","map04216","Ferroptosis",33,1,1,0,1,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04218","map04218","Cellular senescence",117,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04261","map04261","Adrenergic signaling in cardiomyocytes",99,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04270","map04270","Vascular smooth muscle contraction",96,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04310","map04310","Wnt signaling pathway",126,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04320","map04320","Dorso-ventral axis formation",28,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04330","map04330","Notch signaling pathway",36,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04340","map04340","Hedgehog signaling pathway",45,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04341","map04341","Hedgehog signaling pathway - fly",26,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04350","map04350","TGF-beta signaling pathway",96,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04360","map04360","Axon guidance",128,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04361","map04361","Axon regeneration",59,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04370","map04370","VEGF signaling pathway",39,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04371","map04371","Apelin signaling pathway",105,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04380","map04380","Osteoclast differentiation",104,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04390","map04390","Hippo signaling pathway",115,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04391","map04391","Hippo signaling pathway - fly",53,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04392","map04392","Hippo signaling pathway - multiple species",25,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04510","map04510","Focal adhesion",152,1,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04512","map04512","ECM-receptor interaction",66,1,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04514","map04514","Cell adhesion molecules",109,0,0,0,0,NA,NA,NA,NA,NA,NA,"Environmental Information Processing"
"map04520","map04520","Adherens junction",83,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04530","map04530","Tight junction",106,1,1,0,1,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04540","map04540","Gap junction",60,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
"map04550","map04550","Signaling pathways regulating pluripotency of stem cells",114,0,0,0,0,NA,NA,NA,NA,NA,NA,"Cellular Processes"
