"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust","level1"
"map04940","map04940","Type I diabetes mellitus",25,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map04950","map04950","Maturity onset diabetes of the young",26,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map04960","map04960","Aldosterone-regulated sodium reabsorption",26,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04961","map04961","Endocrine and other factor-regulated calcium reabsorption",33,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04962","map04962","Vasopressin-regulated water reabsorption",33,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04964","map04964","Proximal tubule bicarbonate reclamation",14,2,1,1,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04966","map04966","Collecting duct acid secretion",17,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04970","map04970","Salivary secretion",64,1,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04971","map04971","Gastric acid secretion",50,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04972","map04972","Pancreatic secretion",69,1,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04973","map04973","Carbohydrate digestion and absorption",22,2,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04974","map04974","Protein digestion and absorption",66,2,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04975","map04975","Fat digestion and absorption",28,1,1,0,1,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04976","map04976","Bile secretion",62,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04977","map04977","Vitamin digestion and absorption",25,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04978","map04978","Mineral absorption",36,2,1,0,1,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map04979","map04979","Cholesterol metabolism",50,0,0,0,0,NA,NA,NA,NA,NA,NA,"Organismal Systems"
"map05017","map05017","Spinocerebellar ataxia",116,1,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05030","map05030","Cocaine addiction",39,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05031","map05031","Amphetamine addiction",46,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05032","map05032","Morphine addiction",64,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05033","map05033","Nicotine addiction",27,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05034","map05034","Alcoholism",86,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05100","map05100","Bacterial invasion of epithelial cells",76,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05110","map05110","Vibrio cholerae infection",49,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05120","map05120","Epithelial cell signaling in Helicobacter pylori infection",91,2,2,1,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05130","map05130","Pathogenic Escherichia coli infection",152,2,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05133","map05133","Pertussis",79,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05135","map05135","Yersinia infection",122,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05140","map05140","Leishmaniasis",59,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05142","map05142","Chagas disease",85,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05143","map05143","African trypanosomiasis",41,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05144","map05144","Malaria",67,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05145","map05145","Toxoplasmosis",95,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05146","map05146","Amoebiasis",87,2,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05150","map05150","Staphylococcus aureus infection",74,2,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05160","map05160","Hepatitis C",112,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05161","map05161","Hepatitis B",132,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
