"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","9/117","498/19869",0.00274655704102296,0.0212095238167884,0.0151783415424953,"SLC25A5/LDHB/COX5A/SLC25A3/UCP2/HSPD1/CYC1/PHB2/NDUFS8",9
"GO:0071005","CC","GO:0071005","U2-type precatalytic spliceosome","3/117","50/19869",0.00318867141712452,0.0239581257827194,0.0171453455999014,"LSM4/SNRPE/SNRPG",3
"GO:0071011","CC","GO:0071011","precatalytic spliceosome","3/117","53/19869",0.00376271630851281,0.0275272403622779,0.0196995396761474,"LSM4/SNRPE/SNRPG",3
"GO:0042470","CC","GO:0042470","melanosome","4/117","110/19869",0.0040817541378191,0.0283681912578428,0.0203013561065213,"RAN/CAPG/PPIB/PDIA6",4
"GO:0048770","CC","GO:0048770","pigment granule","4/117","110/19869",0.0040817541378191,0.0283681912578428,0.0203013561065213,"RAN/CAPG/PPIB/PDIA6",4
"GO:0030139","CC","GO:0030139","endocytic vesicle","7/117","343/19869",0.00421831593829447,0.0286022397767284,0.0204688501242017,"CORO1A/GSN/ACTG1/PLD4/VAMP8/HLA-DQB1/TAP1",7
"GO:0034719","CC","GO:0034719","SMN-Sm protein complex","2/117","18/19869",0.00494571158501431,0.03197460047986,0.0228822396467003,"SNRPE/SNRPG",2
"GO:0044305","CC","GO:0044305","calyx of Held","2/117","18/19869",0.00494571158501431,0.03197460047986,0.0228822396467003,"ACTG1/ACTB",2
"GO:0005681","CC","GO:0005681","spliceosomal complex","5/117","195/19869",0.00597497875996942,0.0377510021652614,0.0270160522879,"RBM3/HNRNPA1/LSM4/SNRPE/SNRPG",5
"GO:0005844","CC","GO:0005844","polysome","3/117","66/19869",0.00695487939163847,0.0429656993527888,0.0307478878367174,"RPS4Y1/RPL7A/RPL10A",3
"GO:0005697","CC","GO:0005697","telomerase holoenzyme complex","2/117","22/19869",0.00735335682737927,0.0444398521306834,0.031802847605828,"NHP2/SNRPE",2
"GO:0022624","CC","GO:0022624","proteasome accessory complex","2/117","23/19869",0.00802287768752552,0.046691029281801,0.0334138755557001,"PSME2/PSME1",2
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","6/117","295/19869",0.00806176045153399,0.046691029281801,0.0334138755557001,"SLC25A5/COX5A/CYC1/PHB2/NDUFS8/VDAC1",6
"GO:0005682","CC","GO:0005682","U5 snRNP","2/117","24/19869",0.00871877534976466,0.049132387399663,0.0351610042352757,"SNRPE/SNRPG",2
"GO:0098685","CC","GO:0098685","Schaffer collateral - CA1 synapse","3/117","72/19869",0.0088367603236804,0.049132387399663,0.0351610042352757,"ACTG1/ACTB/CAPZB",3
"GO:0005200","MF","GO:0005200","structural constituent of cytoskeleton","8/117","107/18432",3.9994997038172e-07,0.000151980988745054,0.00012208999095863,"TUBA1B/TUBA1A/ARPC3/TUBB/ARPC1B/ACTG1/ACTB/ARPC2",8
"GO:0051015","MF","GO:0051015","actin filament binding","10/117","219/18432",1.34552287757019e-06,0.000255649346738336,0.000205369281313344,"CORO1A/COTL1/GSN/ARPC3/ARPC1B/CFL1/CAPG/ARPC2/TWF2/CAPZB",10
"GO:0043021","MF","GO:0043021","ribonucleoprotein complex binding","8/117","159/18432",7.90767392018969e-06,0.00100163869655736,0.000804640504159653,"C1QBP/RPSA/NPM1/NME1/RBM3/EIF3K/SERBP1/SNRPG",8
"GO:0003779","MF","GO:0003779","actin binding","12/117","439/18432",2.29808207555959e-05,0.00218317797178161,0.00175379947871653,"CORO1A/COTL1/GSN/LSP1/YWHAH/ARPC3/ARPC1B/CFL1/CAPG/ARPC2/TWF2/CAPZB",12
"GO:0050786","MF","GO:0050786","RAGE receptor binding","3/117","10/18432",2.89568071227815e-05,0.00220071734133139,0.00176788927696982,"S100B/HMGB1/HMGB2",3
"GO:0045296","MF","GO:0045296","cadherin binding","10/117","333/18432",5.22531471627398e-05,0.00330936598697352,0.00265849345213939,"ENO1/RANBP1/RAN/PARK7/RPL14/CAPG/TWF2/RPL7A/SERBP1/CAPZB",10
"GO:0005092","MF","GO:0005092","GDP-dissociation inhibitor activity","3/117","16/18432",0.00013142291823834,0.00626084387790027,0.00502948677172044,"ARHGDIB/RANBP1/GDI2",3
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","7/117","176/18432",0.000131807239534742,0.00626084387790027,0.00502948677172044,"RPSA/RPS4Y1/RPL5/RPL4/RPL14/RPL7A/RPL10A",7
"GO:0016853","MF","GO:0016853","isomerase activity","6/117","156/18432",0.000482022292092783,0.0203520523328064,0.0163492941177669,"PPIA/HSPD1/PPIB/PGAM1/PDIA6/ECHS1",6
"GO:0047485","MF","GO:0047485","protein N-terminus binding","5/117","106/18432",0.0005753340483858,0.0218626938386604,0.0175628288454613,"NPM1/ALOX5AP/PHB2/BANF1/CALM2",5
